method: org.apache.fop.util.CharUtilities.<init>:986435355
2600689 -> 2600690
2600691 -> 2600692
2600689 -> 2600693
2600690 -> 2600694
2600692 -> 2600695
2600693 -> 2600696
2600694 -> 2600697
2600695 -> 2600698
2600696 -> 2600699
2600697 -> 2600700
2600698 -> 2600701
2600700 -> 2600702
2600701 -> 2600703
2600704 -> 2600705
