method: org.apache.fop.render.afp.modca.ImageObject.setObjectEnvironmentGroup:254492664
1816252 -> 1816253
1816254 -> 1816255
1816256 -> 1816257
1816253 -> 1816258
1816255 -> 1816259
1816257 -> 1816260
1816258 -> 1816261
1816259 -> 1816262
1816260 -> 1816263
1816261 -> 1816264
1816262 -> 1816265
1816263 -> 1816266
1816264 -> 1816267
1816265 -> 1816268
1816266 -> 1816269
1816264 -> 1816270
