method: org.apache.fop.render.pdf.ImageRenderedAdapter.getSoftMaskReference:893155260
2010358 -> 2010359
2010360 -> 2010361
2010358 -> 2010362
2010359 -> 2010363
2010361 -> 2010364
2010362 -> 2010365
2010363 -> 2010366
2010364 -> 2010367
2010365 -> 2010368
2010366 -> 2010369
2010367 -> 2010370
2010368 -> 2010371
2010368 -> 2010372
