method: org.apache.fop.hyphenation.HyphenationTreeCache.<init>:185089164
937312 -> 937313
937314 -> 937315
937312 -> 937316
937313 -> 937317
937315 -> 937318
937316 -> 937319
937317 -> 937320
937318 -> 937321
937319 -> 937322
937320 -> 937323
937321 -> 937324
937323 -> 937325
937324 -> 937326
937327 -> 937328
937325 -> 937329
937326 -> 937330
937328 -> 937331
937329 -> 937332
937330 -> 937333
937331 -> 937334
937329 -> 937335
