method: org.apache.fop.fonts.FontCache.loadFrom:1965980830
0(1965980830) -> 0(180270359) 
cacheFile(1965980830) -> cacheFile(180270359) 
0(1965980830) -> $r0(180270359) 
0(1965980830) -> in(180270359) 
0(1965980830) -> oin(180270359) 
0(1965980830) -> l3(180270359) 
0(1965980830) -> l4(180270359) 
0(1965980830) -> e(180270359) 
0(1965980830) -> ioe(180270359) 
0(1965980830) -> $r1(180270359) 
0(1965980830) -> $r2(180270359) 
0(1965980830) -> $r3(180270359) 
0(1965980830) -> $r4(180270359) 
0(1965980830) -> $r5(180270359) 
0(1965980830) -> in(180270359) 
0(1965980830) -> $r6(180270359) 
0(1965980830) -> $r7(180270359) 
0(1965980830) -> $r8(180270359) 
0(1965980830) -> $r9(180270359) 
0(1965980830) -> $r10(180270359) 
0(180270359) -> 0(624132883) 
cacheFile(180270359) -> cacheFile(624132883) 
$r0(180270359) -> $r0(624132883) 
in(180270359) -> in(624132883) 
oin(180270359) -> oin(624132883) 
l3(180270359) -> l3(624132883) 
l4(180270359) -> l4(624132883) 
e(180270359) -> e(624132883) 
ioe(180270359) -> ioe(624132883) 
$r1(180270359) -> $r1(624132883) 
$r2(180270359) -> $r2(624132883) 
$r3(180270359) -> $r3(624132883) 
$r4(180270359) -> $r4(624132883) 
$r5(180270359) -> $r5(624132883) 
in(180270359) -> in(624132883) 
$r6(180270359) -> $r6(624132883) 
$r7(180270359) -> $r7(624132883) 
$r8(180270359) -> $r8(624132883) 
$r9(180270359) -> $r9(624132883) 
$r10(180270359) -> $r10(624132883) 
0(624132883) -> 0(-624132883) 
cacheFile(624132883) -> cacheFile(-624132883) 
$r0(624132883) -> $r0(-624132883) 
in(624132883) -> in(-624132883) 
oin(624132883) -> oin(-624132883) 
l3(624132883) -> l3(-624132883) 
l4(624132883) -> l4(-624132883) 
e(624132883) -> e(-624132883) 
ioe(624132883) -> ioe(-624132883) 
$r1(624132883) -> $r1(-624132883) 
$r2(624132883) -> $r2(-624132883) 
$r3(624132883) -> $r3(-624132883) 
$r4(624132883) -> $r4(-624132883) 
$r5(624132883) -> $r5(-624132883) 
in(624132883) -> in(-624132883) 
$r6(624132883) -> $r6(-624132883) 
$r7(624132883) -> $r7(-624132883) 
$r8(624132883) -> $r8(-624132883) 
$r9(624132883) -> $r9(-624132883) 
$r10(624132883) -> $r10(-624132883) 
0(-624132883) -> 0(1491232633) 
cacheFile(-624132883) -> cacheFile(1491232633) 
$r0(-624132883) -> $r0(1491232633) 
in(-624132883) -> in(1491232633) 
oin(-624132883) -> oin(1491232633) 
l3(-624132883) -> l3(1491232633) 
l4(-624132883) -> l4(1491232633) 
e(-624132883) -> e(1491232633) 
ioe(-624132883) -> ioe(1491232633) 
$r1(-624132883) -> $r1(1491232633) 
$r2(-624132883) -> $r2(1491232633) 
$r3(-624132883) -> $r3(1491232633) 
$r4(-624132883) -> $r4(1491232633) 
$r5(-624132883) -> $r5(1491232633) 
in(-624132883) -> in(1491232633) 
$r6(-624132883) -> $r6(1491232633) 
$r7(-624132883) -> $r7(1491232633) 
$r8(-624132883) -> $r8(1491232633) 
$r9(-624132883) -> $r9(1491232633) 
$r10(-624132883) -> $r10(1491232633) 
0(1491232633) -> 0(701326561) 
cacheFile(1491232633) -> cacheFile(701326561) 
$r0(1491232633) -> $r0(701326561) 
in(1491232633) -> in(701326561) 
oin(1491232633) -> oin(701326561) 
l3(1491232633) -> l3(701326561) 
l4(1491232633) -> l4(701326561) 
e(1491232633) -> e(701326561) 
ioe(1491232633) -> ioe(701326561) 
$r1(1491232633) -> $r1(701326561) 
$r2(1491232633) -> $r2(701326561) 
$r3(1491232633) -> $r3(701326561) 
$r4(1491232633) -> $r4(701326561) 
$r5(1491232633) -> $r5(701326561) 
in(1491232633) -> in(701326561) 
$r6(1491232633) -> $r6(701326561) 
$r7(1491232633) -> $r7(701326561) 
$r8(1491232633) -> $r8(701326561) 
$r9(1491232633) -> $r9(701326561) 
$r10(1491232633) -> $r10(701326561) 
0(1491232633) -> 0(2012702341) 
cacheFile(1491232633) -> cacheFile(2012702341) 
$r0(1491232633) -> $r0(2012702341) 
in(1491232633) -> in(2012702341) 
oin(1491232633) -> oin(2012702341) 
l3(1491232633) -> l3(2012702341) 
l4(1491232633) -> l4(2012702341) 
e(1491232633) -> e(2012702341) 
ioe(1491232633) -> ioe(2012702341) 
$r1(1491232633) -> $r1(2012702341) 
$r2(1491232633) -> $r2(2012702341) 
$r3(1491232633) -> $r3(2012702341) 
$r4(1491232633) -> $r4(2012702341) 
$r5(1491232633) -> $r5(2012702341) 
in(1491232633) -> in(2012702341) 
$r6(1491232633) -> $r6(2012702341) 
$r7(1491232633) -> $r7(2012702341) 
$r8(1491232633) -> $r8(2012702341) 
$r9(1491232633) -> $r9(2012702341) 
$r10(1491232633) -> $r10(2012702341) 
0(2012702341) -> 0(325837643) 
cacheFile(2012702341) -> cacheFile(325837643) 
$r0(2012702341) -> $r0(325837643) 
in(2012702341) -> in(325837643) 
oin(2012702341) -> oin(325837643) 
l3(2012702341) -> l3(325837643) 
l4(2012702341) -> l4(325837643) 
e(2012702341) -> e(325837643) 
ioe(2012702341) -> ioe(325837643) 
$r1(2012702341) -> $r1(325837643) 
$r2(2012702341) -> $r2(325837643) 
$r3(2012702341) -> $r3(325837643) 
$r4(2012702341) -> $r4(325837643) 
$r5(2012702341) -> $r5(325837643) 
in(2012702341) -> in(325837643) 
$r6(2012702341) -> $r6(325837643) 
$r7(2012702341) -> $r7(325837643) 
$r8(2012702341) -> $r8(325837643) 
$r9(2012702341) -> $r9(325837643) 
$r10(2012702341) -> $r10(325837643) 
0(325837643) -> 0(-325837643) 
cacheFile(325837643) -> cacheFile(-325837643) 
$r0(325837643) -> $r0(-325837643) 
in(325837643) -> in(-325837643) 
oin(325837643) -> oin(-325837643) 
l3(325837643) -> l3(-325837643) 
l4(325837643) -> l4(-325837643) 
e(325837643) -> e(-325837643) 
ioe(325837643) -> ioe(-325837643) 
$r1(325837643) -> $r1(-325837643) 
$r2(325837643) -> $r2(-325837643) 
$r3(325837643) -> $r3(-325837643) 
$r4(325837643) -> $r4(-325837643) 
$r5(325837643) -> $r5(-325837643) 
in(325837643) -> in(-325837643) 
$r6(325837643) -> $r6(-325837643) 
$r7(325837643) -> $r7(-325837643) 
$r8(325837643) -> $r8(-325837643) 
$r9(325837643) -> $r9(-325837643) 
$r10(325837643) -> $r10(-325837643) 
0(-325837643) -> 0(269966051) 
cacheFile(-325837643) -> cacheFile(269966051) 
$r0(-325837643) -> $r0(269966051) 
in(-325837643) -> in(269966051) 
oin(-325837643) -> oin(269966051) 
l3(-325837643) -> l3(269966051) 
l4(-325837643) -> l4(269966051) 
e(-325837643) -> e(269966051) 
ioe(-325837643) -> ioe(269966051) 
$r1(-325837643) -> $r1(269966051) 
