method: org.apache.fop.layoutmgr.AbstractLayoutManager.addAreas:135409841
997946 -> 997947
997948 -> 997949
997950 -> 997951
997952 -> 997953
997947 -> 997954
997949 -> 997955
997951 -> 997956
997953 -> 997957
997954 -> 997958
997955 -> 997959
997956 -> 997960
997957 -> 997961
997958 -> 997962
997959 -> 997963
997960 -> 997964
997961 -> 997965
997962 -> 997966
997963 -> 997967
997964 -> 997968
997965 -> 997969
997962 -> 997970
