method: org.apache.fop.layoutmgr.inline.PageNumberCitationLastLayoutManager.<init>:1340613999
1266336 -> 1266337
1266338 -> 1266339
1266340 -> 1266341
1266337 -> 1266342
1266339 -> 1266343
1266341 -> 1266344
1266342 -> 1266345
1266343 -> 1266346
1266344 -> 1266347
1266345 -> 1266348
1266346 -> 1266349
1266347 -> 1266350
1266348 -> 1266351
1266349 -> 1266352
1266350 -> 1266353
1266351 -> 1266354
1266352 -> 1266355
1266353 -> 1266356
1266351 -> 1266357
