method: org.apache.fop.fo.properties.CommonBorderPaddingBackground.getPaddingLengthProperty:1362105838
368994 -> 368995
368996 -> 368997
368994 -> 368998
368994 -> 368999
368995 -> 369000
368997 -> 369001
368998 -> 369002
368999 -> 369003
369000 -> 369004
369001 -> 369005
369002 -> 369006
369003 -> 369007
369004 -> 369008
369005 -> 369009
369006 -> 369010
369007 -> 369011
369008 -> 369012
369009 -> 369013
369010 -> 369014
369011 -> 369015
369012 -> 369016
369013 -> 369017
369014 -> 369018
369015 -> 369019
369015 -> 369020
