method: org.apache.fop.pdf.BitmapImage.getTransparentColor:454220912
1542848 -> 1542849
1542850 -> 1542851
1542848 -> 1542852
1542849 -> 1542853
1542851 -> 1542854
1542852 -> 1542855
1542853 -> 1542856
1542854 -> 1542857
1542855 -> 1542858
1542856 -> 1542859
1542857 -> 1542860
1542858 -> 1542861
1542858 -> 1542862
