method: org.apache.fop.render.afp.fonts.CharacterSetOrientation.width:1483272373
1800417 -> 1800418
1800419 -> 1800420
1800417 -> 1800421
1800418 -> 1800422
1800420 -> 1800423
1800421 -> 1800424
1800422 -> 1800425
1800423 -> 1800426
1800424 -> 1800427
1800425 -> 1800428
1800426 -> 1800429
1800427 -> 1800430
1800428 -> 1800431
1800429 -> 1800432
1800430 -> 1800433
1800431 -> 1800434
1800432 -> 1800435
1800433 -> 1800436
1800431 -> 1800437
