method: org.apache.fop.render.awt.viewer.PreviewPanel$ViewportScroller.mouseDragged:1262327702
0(1262327702) -> 0(1810611367) 
this(1262327702) -> this(1810611367) 
e(1262327702) -> e(1810611367) 
0(1262327702) -> viewPoint(1810611367) 
0(1262327702) -> $r0(1810611367) 
0(1262327702) -> $r1(1810611367) 
0(1262327702) -> $r2(1810611367) 
0(1810611367) -> 0(1101967179) 
this(1810611367) -> this(1101967179) 
e(1810611367) -> e(1101967179) 
viewPoint(1810611367) -> viewPoint(1101967179) 
$r0(1810611367) -> $r0(1101967179) 
$r1(1810611367) -> $r1(1101967179) 
$r2(1810611367) -> $r2(1101967179) 
0(1101967179) -> 0(713017296) 
this(1101967179) -> this(713017296) 
e(1101967179) -> e(713017296) 
viewPoint(1101967179) -> viewPoint(713017296) 
$r0(1101967179) -> $r0(713017296) 
$r1(1101967179) -> $r1(713017296) 
$r2(1101967179) -> $r2(713017296) 
0(713017296) -> 0(722943612) 
this(713017296) -> this(722943612) 
e(713017296) -> e(722943612) 
viewPoint(713017296) -> viewPoint(722943612) 
$r0(713017296) -> $r0(722943612) 
$r1(713017296) -> $r1(722943612) 
$r2(713017296) -> $r2(722943612) 
0(722943612) -> 0(36539295) 
this(722943612) -> this(36539295) 
e(722943612) -> e(36539295) 
viewPoint(722943612) -> viewPoint(36539295) 
$r0(722943612) -> $r0(36539295) 
$r1(722943612) -> $r1(36539295) 
$r2(722943612) -> $r2(36539295) 
0(722943612) -> 0(50812158) 
this(722943612) -> this(50812158) 
e(722943612) -> e(50812158) 
viewPoint(722943612) -> viewPoint(50812158) 
$r0(722943612) -> $r0(50812158) 
$r1(722943612) -> $r1(50812158) 
$r2(722943612) -> $r2(50812158) 
0(50812158) -> 0(-1262327702) 
this(50812158) -> this(-1262327702) 
e(50812158) -> e(-1262327702) 
viewPoint(50812158) -> viewPoint(-1262327702) 
$r0(50812158) -> $r0(-1262327702) 
$r1(50812158) -> $r1(-1262327702) 
$r2(50812158) -> $r2(-1262327702) 
0(50812158) -> .return(-1262327702) 
0(36539295) -> 0(-36539295) 
this(36539295) -> this(-36539295) 
e(36539295) -> e(-36539295) 
viewPoint(36539295) -> viewPoint(-36539295) 
$r0(36539295) -> $r0(-36539295) 
$r1(36539295) -> $r1(-36539295) 
$r2(36539295) -> $r2(-36539295) 
0(-36539295) -> 0(1656256140) 
this(-36539295) -> this(1656256140) 
e(-36539295) -> e(1656256140) 
viewPoint(-36539295) -> viewPoint(1656256140) 
$r0(-36539295) -> $r0(1656256140) 
$r1(-36539295) -> $r1(1656256140) 
$r2(-36539295) -> $r2(1656256140) 
0(1656256140) -> 0(-1656256140) 
this(1656256140) -> this(-1656256140) 
e(1656256140) -> e(-1656256140) 
viewPoint(1656256140) -> viewPoint(-1656256140) 
$r0(1656256140) -> $r0(-1656256140) 
$r1(1656256140) -> $r1(-1656256140) 
$r2(1656256140) -> $r2(-1656256140) 
0(-1656256140) -> 0(648973982) 
this(-1656256140) -> this(648973982) 
e(-1656256140) -> e(648973982) 
viewPoint(-1656256140) -> viewPoint(648973982) 
$r0(-1656256140) -> $r0(648973982) 
$r1(-1656256140) -> $r1(648973982) 
$r2(-1656256140) -> $r2(648973982) 
0(648973982) -> 0(332308024) 
this(648973982) -> this(332308024) 
e(648973982) -> e(332308024) 
viewPoint(648973982) -> viewPoint(332308024) 
$r0(648973982) -> $r0(332308024) 
$r1(648973982) -> $r1(332308024) 
$r2(648973982) -> $r2(332308024) 
0(332308024) -> 0(1165041735) 
this(332308024) -> this(1165041735) 
e(332308024) -> e(1165041735) 
viewPoint(332308024) -> viewPoint(1165041735) 
$r0(332308024) -> $r0(1165041735) 
$r1(332308024) -> $r1(1165041735) 
$r2(332308024) -> $r2(1165041735) 
0(1165041735) -> 0(1967904251) 
this(1165041735) -> this(1967904251) 
e(1165041735) -> e(1967904251) 
viewPoint(1165041735) -> viewPoint(1967904251) 
$r0(1165041735) -> $r0(1967904251) 
$r1(1165041735) -> $r1(1967904251) 
$r2(1165041735) -> $r2(1967904251) 
0(1967904251) -> 0(975117015) 
this(1967904251) -> this(975117015) 
e(1967904251) -> e(975117015) 
viewPoint(1967904251) -> viewPoint(975117015) 
$r0(1967904251) -> $r0(975117015) 
$r1(1967904251) -> $r1(975117015) 
$r2(1967904251) -> $r2(975117015) 
0(975117015) -> 0(1343960848) 
this(975117015) -> this(1343960848) 
e(975117015) -> e(1343960848) 
viewPoint(975117015) -> viewPoint(1343960848) 
$r0(975117015) -> $r0(1343960848) 
$r1(975117015) -> $r1(1343960848) 
$r2(975117015) -> $r2(1343960848) 
0(1343960848) -> 0(-1343960848) 
this(1343960848) -> this(-1343960848) 
e(1343960848) -> e(-1343960848) 
viewPoint(1343960848) -> viewPoint(-1343960848) 
$r0(1343960848) -> $r0(-1343960848) 
