method: org.apache.fop.layoutmgr.SpaceSpecifier.clear:1289973875
1426168 -> 1426169
1426170 -> 1426171
1426168 -> 1426172
1426169 -> 1426173
1426171 -> 1426174
1426172 -> 1426175
1426173 -> 1426176
1426174 -> 1426177
1426175 -> 1426178
1426176 -> 1426179
1426177 -> 1426180
1426178 -> 1426181
1426179 -> 1426182
1426180 -> 1426183
1426181 -> 1426184
1426182 -> 1426185
1426183 -> 1426186
1426184 -> 1426187
1426182 -> 1426188
