method: org.apache.fop.layoutmgr.table.TableLayoutManager.resetSpaces:2103728606
1505015 -> 1505016
1505017 -> 1505018
1505016 -> 1505019
1505018 -> 1505020
1505019 -> 1505021
1505020 -> 1505022
1505021 -> 1505023
1505022 -> 1505024
1505023 -> 1505025
1505024 -> 1505026
1505025 -> 1505027
1505026 -> 1505028
1505027 -> 1505029
1505028 -> 1505030
1505029 -> 1505031
1505030 -> 1505032
1505031 -> 1505033
1505032 -> 1505034
1505031 -> 1505035
