method: org.apache.fop.area.Trait$Background.setHoriz:842897746
0(842897746) -> 0(1076563946) 
this(842897746) -> this(1076563946) 
0(1076563946) -> 0(1260514447) 
this(1076563946) -> this(1260514447) 
0(1260514447) -> 0(1840241303) 
this(1260514447) -> this(1840241303) 
0(1840241303) -> 0(876095427) 
this(1840241303) -> this(876095427) 
0(876095427) -> 0(-842897746) 
this(876095427) -> this(-842897746) 
0(876095427) -> .return(-842897746) 
