method: org.apache.fop.pdf.PDFText.toHex:23972764
1693908 -> 1693909
1693910 -> 1693911
1693908 -> 1693912
1693909 -> 1693913
1693911 -> 1693914
1693912 -> 1693915
1693913 -> 1693916
1693914 -> 1693917
1693916 -> 1693918
1693917 -> 1693919
1693920 -> 1693921
1693918 -> 1693922
1693919 -> 1693923
1693921 -> 1693924
1693921 -> 1693925
