method: org.apache.fop.fo.flow.table.SeparateBorderResolver.endRow:185956982
227334 -> 227335
227336 -> 227337
227338 -> 227339
227340 -> 227341
227335 -> 227342
227337 -> 227343
227339 -> 227344
227341 -> 227345
227342 -> 227346
227343 -> 227347
227344 -> 227348
227345 -> 227349
227346 -> 227350
227347 -> 227351
227348 -> 227352
227349 -> 227353
227350 -> 227354
227351 -> 227355
227352 -> 227356
227353 -> 227357
227350 -> 227358
