method: org.apache.fop.render.rtf.FOPRtfAttributes$DummyPercentBaseContext.getBaseLength:2120610764
2231955 -> 2231956
2231957 -> 2231958
2231959 -> 2231960
2231956 -> 2231961
2231958 -> 2231962
2231960 -> 2231963
2231961 -> 2231964
2231962 -> 2231965
2231963 -> 2231966
2231964 -> 2231967
2231965 -> 2231968
2231966 -> 2231969
2231967 -> 2231970
2231968 -> 2231971
2231969 -> 2231972
2231967 -> 2231973
