method: org.apache.fop.fonts.FontCache.isFailedFont:1637842073
0(1637842073) -> 0(621247700) 
this(1637842073) -> this(621247700) 
embedUrl(1637842073) -> embedUrl(621247700) 
0(1637842073) -> l4(621247700) 
0(1637842073) -> l7(621247700) 
0(1637842073) -> $r0(621247700) 
0(1637842073) -> $r1(621247700) 
0(1637842073) -> $r2(621247700) 
0(1637842073) -> $r3(621247700) 
0(621247700) -> 0(244602186) 
this(621247700) -> this(244602186) 
embedUrl(621247700) -> embedUrl(244602186) 
l4(621247700) -> l4(244602186) 
l7(621247700) -> l7(244602186) 
$r0(621247700) -> $r0(244602186) 
$r1(621247700) -> $r1(244602186) 
$r2(621247700) -> $r2(244602186) 
$r3(621247700) -> $r3(244602186) 
0(244602186) -> 0(745239744) 
this(244602186) -> this(745239744) 
embedUrl(244602186) -> embedUrl(745239744) 
l4(244602186) -> l4(745239744) 
l7(244602186) -> l7(745239744) 
$r0(244602186) -> $r0(745239744) 
$r1(244602186) -> $r1(745239744) 
$r2(244602186) -> $r2(745239744) 
$r3(244602186) -> $r3(745239744) 
0(745239744) -> 0(1207185267) 
this(745239744) -> this(1207185267) 
embedUrl(745239744) -> embedUrl(1207185267) 
l4(745239744) -> l4(1207185267) 
l7(745239744) -> l7(1207185267) 
$r0(745239744) -> $r0(1207185267) 
$r1(745239744) -> $r1(1207185267) 
$r2(745239744) -> $r2(1207185267) 
$r3(745239744) -> $r3(1207185267) 
0(1207185267) -> 0(1933159570) 
this(1207185267) -> this(1933159570) 
embedUrl(1207185267) -> embedUrl(1933159570) 
l4(1207185267) -> l4(1933159570) 
l7(1207185267) -> l7(1933159570) 
$r0(1207185267) -> $r0(1933159570) 
$r1(1207185267) -> $r1(1933159570) 
$r2(1207185267) -> $r2(1933159570) 
$r3(1207185267) -> $r3(1933159570) 
0(1933159570) -> 0(-1933159570) 
this(1933159570) -> this(-1933159570) 
embedUrl(1933159570) -> embedUrl(-1933159570) 
l4(1933159570) -> l4(-1933159570) 
l7(1933159570) -> l7(-1933159570) 
$r0(1933159570) -> $r0(-1933159570) 
$r1(1933159570) -> $r1(-1933159570) 
$r2(1933159570) -> $r2(-1933159570) 
$r3(1933159570) -> $r3(-1933159570) 
0(-1933159570) -> 0(1332797527) 
this(-1933159570) -> this(1332797527) 
embedUrl(-1933159570) -> embedUrl(1332797527) 
l4(-1933159570) -> l4(1332797527) 
l7(-1933159570) -> l7(1332797527) 
$r0(-1933159570) -> $r0(1332797527) 
$r1(-1933159570) -> $r1(1332797527) 
$r2(-1933159570) -> $r2(1332797527) 
$r3(-1933159570) -> $r3(1332797527) 
0(1332797527) -> 0(1853064283) 
this(1332797527) -> this(1853064283) 
embedUrl(1332797527) -> embedUrl(1853064283) 
l4(1332797527) -> l4(1853064283) 
l7(1332797527) -> l7(1853064283) 
$r0(1332797527) -> $r0(1853064283) 
$r1(1332797527) -> $r1(1853064283) 
$r2(1332797527) -> $r2(1853064283) 
$r3(1332797527) -> $r3(1853064283) 
0(1332797527) -> 0(1598290237) 
this(1332797527) -> this(1598290237) 
embedUrl(1332797527) -> embedUrl(1598290237) 
l4(1332797527) -> l4(1598290237) 
l7(1332797527) -> l7(1598290237) 
$r0(1332797527) -> $r0(1598290237) 
$r1(1332797527) -> $r1(1598290237) 
$r2(1332797527) -> $r2(1598290237) 
$r3(1332797527) -> $r3(1598290237) 
0(1598290237) -> 0(1257989399) 
this(1598290237) -> this(1257989399) 
embedUrl(1598290237) -> embedUrl(1257989399) 
l4(1598290237) -> l4(1257989399) 
l7(1598290237) -> l7(1257989399) 
$r0(1598290237) -> $r0(1257989399) 
$r1(1598290237) -> $r1(1257989399) 
$r2(1598290237) -> $r2(1257989399) 
$r3(1598290237) -> $r3(1257989399) 
0(1257989399) -> 0(1051324278) 
this(1257989399) -> this(1051324278) 
embedUrl(1257989399) -> embedUrl(1051324278) 
l7(1257989399) -> l7(1051324278) 
$r0(1257989399) -> $r0(1051324278) 
$r1(1257989399) -> l4(1051324278) 
$r1(1257989399) -> $r1(1051324278) 
$r2(1257989399) -> $r2(1051324278) 
$r3(1257989399) -> $r3(1051324278) 
0(1051324278) -> 0(-1637842073) 
this(1051324278) -> this(-1637842073) 
embedUrl(1051324278) -> embedUrl(-1637842073) 
l4(1051324278) -> l4(-1637842073) 
l7(1051324278) -> l7(-1637842073) 
$r0(1051324278) -> $r0(-1637842073) 
$r1(1051324278) -> $r1(-1637842073) 
$r2(1051324278) -> $r2(-1637842073) 
$r3(1051324278) -> $r3(-1637842073) 
0(320686332) -> 0(1715893278) 
this(320686332) -> this(1715893278) 
embedUrl(320686332) -> embedUrl(1715893278) 
l4(320686332) -> l4(1715893278) 
l7(320686332) -> l7(1715893278) 
$r0(320686332) -> $r0(1715893278) 
$r1(320686332) -> $r1(1715893278) 
$r2(320686332) -> $r2(1715893278) 
$r3(320686332) -> $r3(1715893278) 
0(1715893278) -> 0(-1715893278) 
this(1715893278) -> this(-1715893278) 
embedUrl(1715893278) -> embedUrl(-1715893278) 
l4(1715893278) -> l4(-1715893278) 
l7(1715893278) -> l7(-1715893278) 
$r0(1715893278) -> $r0(-1715893278) 
$r2(1715893278) -> $r2(-1715893278) 
$r3(1715893278) -> $r3(-1715893278) 
0(-1715893278) -> 0(460427783) 
this(-1715893278) -> this(460427783) 
embedUrl(-1715893278) -> embedUrl(460427783) 
l4(-1715893278) -> l4(460427783) 
l7(-1715893278) -> l7(460427783) 
$r0(-1715893278) -> $r0(460427783) 
$r1(-1715893278) -> $r1(460427783) 
$r2(-1715893278) -> $r2(460427783) 
$r3(-1715893278) -> $r3(460427783) 
0(460427783) -> 0(376844123) 
this(460427783) -> this(376844123) 
embedUrl(460427783) -> embedUrl(376844123) 
l4(460427783) -> l4(376844123) 
l7(460427783) -> l7(376844123) 
$r0(460427783) -> $r0(376844123) 
$r1(460427783) -> $r2(376844123) 
$r1(460427783) -> $r1(376844123) 
$r3(460427783) -> $r3(376844123) 
0(376844123) -> 0(-376844123) 
this(376844123) -> this(-376844123) 
embedUrl(376844123) -> embedUrl(-376844123) 
l4(376844123) -> l4(-376844123) 
l7(376844123) -> l7(-376844123) 
$r0(376844123) -> $r0(-376844123) 
$r1(376844123) -> $r1(-376844123) 
$r2(376844123) -> $r2(-376844123) 
$r3(376844123) -> $r3(-376844123) 
0(-376844123) -> 0(2097489651) 
this(-376844123) -> this(2097489651) 
embedUrl(-376844123) -> embedUrl(2097489651) 
l4(-376844123) -> l4(2097489651) 
l7(-376844123) -> l7(2097489651) 
$r0(-376844123) -> $r0(2097489651) 
$r1(-376844123) -> $r1(2097489651) 
$r2(-376844123) -> $r2(2097489651) 
$r3(-376844123) -> $r3(2097489651) 
0(2097489651) -> 0(1564498852) 
this(2097489651) -> this(1564498852) 
embedUrl(2097489651) -> embedUrl(1564498852) 
l4(2097489651) -> l4(1564498852) 
l7(2097489651) -> l7(1564498852) 
$r0(2097489651) -> $r0(1564498852) 
$r1(2097489651) -> $r1(1564498852) 
$r2(2097489651) -> $r2(1564498852) 
$r3(2097489651) -> $r3(1564498852) 
0(1564498852) -> 0(1443066654) 
this(1564498852) -> this(1443066654) 
embedUrl(1564498852) -> embedUrl(1443066654) 
l4(1564498852) -> l4(1443066654) 
l7(1564498852) -> l7(1443066654) 
$r0(1564498852) -> $r0(1443066654) 
$r1(1564498852) -> $r1(1443066654) 
$r2(1564498852) -> $r2(1443066654) 
$r3(1564498852) -> $r3(1443066654) 
0(1564498852) -> 0(1169525602) 
this(1564498852) -> this(1169525602) 
embedUrl(1564498852) -> embedUrl(1169525602) 
l4(1564498852) -> l4(1169525602) 
l7(1564498852) -> l7(1169525602) 
$r0(1564498852) -> $r0(1169525602) 
$r1(1564498852) -> $r1(1169525602) 
$r2(1564498852) -> $r2(1169525602) 
$r3(1564498852) -> $r3(1169525602) 
0(1169525602) -> 0(2065485437) 
this(1169525602) -> this(2065485437) 
embedUrl(1169525602) -> embedUrl(2065485437) 
l4(1169525602) -> l4(2065485437) 
l7(1169525602) -> l7(2065485437) 
$r0(1169525602) -> $r0(2065485437) 
$r1(1169525602) -> $r1(2065485437) 
$r2(1169525602) -> $r2(2065485437) 
$r3(1169525602) -> $r3(2065485437) 
0(2065485437) -> 0(437635766) 
this(2065485437) -> this(437635766) 
embedUrl(2065485437) -> embedUrl(437635766) 
l4(2065485437) -> l4(437635766) 
l7(2065485437) -> l7(437635766) 
$r0(2065485437) -> $r0(437635766) 
$r1(2065485437) -> $r1(437635766) 
$r2(2065485437) -> $r2(437635766) 
$r3(2065485437) -> $r3(437635766) 
0(437635766) -> 0(1443066654) 
this(437635766) -> this(1443066654) 
embedUrl(437635766) -> embedUrl(1443066654) 
l4(437635766) -> l4(1443066654) 
l7(437635766) -> l7(1443066654) 
$r0(437635766) -> $r0(1443066654) 
$r1(437635766) -> $r1(1443066654) 
$r2(437635766) -> $r2(1443066654) 
$r3(437635766) -> $r3(1443066654) 
0(1443066654) -> 0(-1637842073) 
this(1443066654) -> this(-1637842073) 
embedUrl(1443066654) -> embedUrl(-1637842073) 
l4(1443066654) -> l4(-1637842073) 
l7(1443066654) -> l7(-1637842073) 
$r0(1443066654) -> $r0(-1637842073) 
$r1(1443066654) -> $r1(-1637842073) 
