method: org.apache.fop.fo.PropertyList.findMaker:587462006
0(587462006) -> 0(710279399) 
this(587462006) -> this(710279399) 
0(587462006) -> $r0(710279399) 
0(710279399) -> 0(1951748967) 
this(710279399) -> this(1951748967) 
$r0(710279399) -> $r0(1951748967) 
0(1951748967) -> 0(115659762) 
this(1951748967) -> this(115659762) 
$r0(1951748967) -> $r0(115659762) 
0(115659762) -> 0(1890835703) 
this(115659762) -> this(1890835703) 
$r0(115659762) -> $r0(1890835703) 
0(115659762) -> 0(1569833869) 
this(115659762) -> this(1569833869) 
$r0(115659762) -> $r0(1569833869) 
0(1569833869) -> 0(246421185) 
this(1569833869) -> this(246421185) 
$r0(1569833869) -> $r0(246421185) 
0(1569833869) -> 0(1890835703) 
this(1569833869) -> this(1890835703) 
$r0(1569833869) -> $r0(1890835703) 
0(1890835703) -> 0(-587462006) 
this(1890835703) -> this(-587462006) 
$r0(1890835703) -> $r0(-587462006) 
0(1890835703) -> .return(-587462006) 
0(246421185) -> 0(-246421185) 
this(246421185) -> this(-246421185) 
0(-246421185) -> 0(1252384879) 
this(-246421185) -> this(1252384879) 
$r0(-246421185) -> $r0(1252384879) 
0(1252384879) -> 0(-587462006) 
this(1252384879) -> this(-587462006) 
$r0(1252384879) -> $r0(-587462006) 
$r0(1252384879) -> .return(-587462006) 
