method: org.apache.fop.pdf.PDFResourceContext.<init>:1970177686
1669596 -> 1669597
1669598 -> 1669599
1669600 -> 1669601
1669597 -> 1669602
1669599 -> 1669603
1669601 -> 1669604
1669602 -> 1669605
1669603 -> 1669606
1669604 -> 1669607
1669605 -> 1669608
1669606 -> 1669609
1669607 -> 1669610
1669608 -> 1669611
1669609 -> 1669612
1669610 -> 1669613
1669611 -> 1669614
1669612 -> 1669615
1669613 -> 1669616
1669611 -> 1669617
