method: org.apache.fop.layoutmgr.inline.WrapperLayoutManager.<init>:2002000370
1322718 -> 1322719
1322720 -> 1322721
1322722 -> 1322723
1322719 -> 1322724
1322721 -> 1322725
1322723 -> 1322726
1322724 -> 1322727
1322725 -> 1322728
1322726 -> 1322729
1322727 -> 1322730
1322728 -> 1322731
1322729 -> 1322732
1322730 -> 1322733
1322731 -> 1322734
1322732 -> 1322735
1322733 -> 1322736
1322734 -> 1322737
1322735 -> 1322738
1322733 -> 1322739
