method: org.apache.fop.layoutmgr.BlockContainerLayoutManager.getSpaceBefore:908258837
1011779 -> 1011780
1011781 -> 1011782
1011779 -> 1011783
1011780 -> 1011784
1011782 -> 1011785
1011783 -> 1011786
1011784 -> 1011787
1011785 -> 1011788
1011786 -> 1011789
1011787 -> 1011790
1011788 -> 1011791
1011789 -> 1011792
1011790 -> 1011793
1011791 -> 1011794
1011792 -> 1011795
1011790 -> 1011796
