method: org.apache.fop.hyphenation.Hyphenation.getPostHyphenText:712754717
921079 -> 921080
921081 -> 921082
921079 -> 921083
921079 -> 921084
921080 -> 921085
921082 -> 921086
921083 -> 921087
921084 -> 921088
921085 -> 921089
921086 -> 921090
921087 -> 921091
921088 -> 921092
921089 -> 921093
921090 -> 921094
921091 -> 921095
921092 -> 921096
921093 -> 921097
921094 -> 921098
921095 -> 921099
921096 -> 921100
921097 -> 921101
921098 -> 921102
921099 -> 921103
921100 -> 921104
921101 -> 921105
921102 -> 921106
921104 -> 921107
921105 -> 921108
921106 -> 921109
921110 -> 921111
921107 -> 921112
921108 -> 921113
921109 -> 921114
921111 -> 921115
921112 -> 921116
921111 -> 921117
