method: org.apache.fop.fonts.Font.getKernValue:1388567425
0(1388567425) -> 0(374710639) 
this(1388567425) -> this(374710639) 
0(1388567425) -> $r0(374710639) 
0(1388567425) -> kernPair(374710639) 
0(1388567425) -> width(374710639) 
0(1388567425) -> $r1(374710639) 
0(1388567425) -> $r2(374710639) 
0(374710639) -> 0(1339656669) 
this(374710639) -> this(1339656669) 
$r0(374710639) -> $r0(1339656669) 
kernPair(374710639) -> kernPair(1339656669) 
width(374710639) -> width(1339656669) 
$r1(374710639) -> $r1(1339656669) 
$r2(374710639) -> $r2(1339656669) 
0(1339656669) -> 0(1391080735) 
this(1339656669) -> this(1391080735) 
$r0(1339656669) -> $r0(1391080735) 
kernPair(1339656669) -> kernPair(1391080735) 
width(1339656669) -> width(1391080735) 
$r1(1339656669) -> $r1(1391080735) 
$r2(1339656669) -> $r2(1391080735) 
0(1391080735) -> 0(22484114) 
this(1391080735) -> this(22484114) 
$r0(1391080735) -> $r0(22484114) 
kernPair(1391080735) -> kernPair(22484114) 
width(1391080735) -> width(22484114) 
$r1(1391080735) -> $r1(22484114) 
$r2(1391080735) -> $r2(22484114) 
0(22484114) -> 0(-22484114) 
this(22484114) -> this(-22484114) 
$r0(22484114) -> $r0(-22484114) 
kernPair(22484114) -> kernPair(-22484114) 
width(22484114) -> width(-22484114) 
$r2(22484114) -> $r2(-22484114) 
0(-22484114) -> 0(2080865773) 
this(-22484114) -> this(2080865773) 
$r0(-22484114) -> $r0(2080865773) 
kernPair(-22484114) -> kernPair(2080865773) 
width(-22484114) -> width(2080865773) 
$r1(-22484114) -> $r1(2080865773) 
$r2(-22484114) -> $r2(2080865773) 
0(2080865773) -> 0(1830261385) 
this(2080865773) -> this(1830261385) 
kernPair(2080865773) -> kernPair(1830261385) 
width(2080865773) -> width(1830261385) 
$r1(2080865773) -> $r1(1830261385) 
$r2(2080865773) -> $r2(1830261385) 
0(1830261385) -> 0(647338067) 
this(1830261385) -> this(647338067) 
$r0(1830261385) -> $r0(647338067) 
kernPair(1830261385) -> kernPair(647338067) 
width(1830261385) -> width(647338067) 
$r1(1830261385) -> $r1(647338067) 
$r2(1830261385) -> $r2(647338067) 
0(647338067) -> 0(-647338067) 
this(647338067) -> this(-647338067) 
$r0(647338067) -> $r0(-647338067) 
kernPair(647338067) -> kernPair(-647338067) 
width(647338067) -> width(-647338067) 
$r1(647338067) -> $r1(-647338067) 
0(-647338067) -> 0(1103919884) 
this(-647338067) -> this(1103919884) 
$r0(-647338067) -> $r0(1103919884) 
kernPair(-647338067) -> kernPair(1103919884) 
width(-647338067) -> width(1103919884) 
$r1(-647338067) -> $r1(1103919884) 
$r2(-647338067) -> $r2(1103919884) 
0(1103919884) -> 0(1779449303) 
this(1103919884) -> this(1779449303) 
$r0(1103919884) -> $r0(1779449303) 
width(1103919884) -> width(1779449303) 
$r1(1103919884) -> $r1(1779449303) 
$r2(1103919884) -> kernPair(1779449303) 
$r2(1103919884) -> $r2(1779449303) 
0(1779449303) -> 0(466478018) 
this(1779449303) -> this(466478018) 
$r0(1779449303) -> $r0(466478018) 
kernPair(1779449303) -> kernPair(466478018) 
width(1779449303) -> width(466478018) 
$r1(1779449303) -> $r1(466478018) 
$r2(1779449303) -> $r2(466478018) 
0(1779449303) -> 0(922384672) 
this(1779449303) -> this(922384672) 
$r0(1779449303) -> $r0(922384672) 
kernPair(1779449303) -> kernPair(922384672) 
width(1779449303) -> width(922384672) 
$r1(1779449303) -> $r1(922384672) 
$r2(1779449303) -> $r2(922384672) 
0(922384672) -> 0(589097807) 
this(922384672) -> this(589097807) 
kernPair(922384672) -> kernPair(589097807) 
width(922384672) -> width(589097807) 
$r1(922384672) -> $r1(589097807) 
$r2(922384672) -> $r2(589097807) 
0(589097807) -> 0(1067229579) 
this(589097807) -> this(1067229579) 
$r0(589097807) -> $r0(1067229579) 
kernPair(589097807) -> kernPair(1067229579) 
width(589097807) -> width(1067229579) 
$r1(589097807) -> $r1(1067229579) 
$r2(589097807) -> $r2(1067229579) 
0(1067229579) -> 0(-1067229579) 
this(1067229579) -> this(-1067229579) 
$r0(1067229579) -> $r0(-1067229579) 
kernPair(1067229579) -> kernPair(-1067229579) 
width(1067229579) -> width(-1067229579) 
$r1(1067229579) -> $r1(-1067229579) 
0(-1067229579) -> 0(563977525) 
this(-1067229579) -> this(563977525) 
$r0(-1067229579) -> $r0(563977525) 
kernPair(-1067229579) -> kernPair(563977525) 
width(-1067229579) -> width(563977525) 
$r1(-1067229579) -> $r1(563977525) 
$r2(-1067229579) -> $r2(563977525) 
0(563977525) -> 0(431552393) 
this(563977525) -> this(431552393) 
$r0(563977525) -> $r0(431552393) 
kernPair(563977525) -> kernPair(431552393) 
$r1(563977525) -> $r1(431552393) 
$r2(563977525) -> width(431552393) 
$r2(563977525) -> $r2(431552393) 
0(431552393) -> 0(466478018) 
this(431552393) -> this(466478018) 
$r0(431552393) -> $r0(466478018) 
kernPair(431552393) -> kernPair(466478018) 
width(431552393) -> width(466478018) 
$r1(431552393) -> $r1(466478018) 
$r2(431552393) -> $r2(466478018) 
0(431552393) -> 0(522075648) 
this(431552393) -> this(522075648) 
$r0(431552393) -> $r0(522075648) 
kernPair(431552393) -> kernPair(522075648) 
width(431552393) -> width(522075648) 
$r1(431552393) -> $r1(522075648) 
$r2(431552393) -> $r2(522075648) 
0(522075648) -> 0(-522075648) 
this(522075648) -> this(-522075648) 
$r0(522075648) -> $r0(-522075648) 
kernPair(522075648) -> kernPair(-522075648) 
width(522075648) -> width(-522075648) 
$r1(522075648) -> $r1(-522075648) 
$r2(522075648) -> $r2(-522075648) 
0(-522075648) -> 0(2054717941) 
this(-522075648) -> this(2054717941) 
$r0(-522075648) -> $r0(2054717941) 
kernPair(-522075648) -> kernPair(2054717941) 
width(-522075648) -> width(2054717941) 
$r1(-522075648) -> $r1(2054717941) 
$r2(-522075648) -> $r2(2054717941) 
0(2054717941) -> 0(-1388567425) 
