method: org.apache.fop.render.ps.NativeTextHandler.createFont:2132495711
$r0(916018250) -> $r0(208462407) 
$r1(916018250) -> $r1(208462407) 
$r2(916018250) -> $r2(208462407) 
0(208462407) -> 0(1992393442) 
this(208462407) -> this(1992393442) 
f(208462407) -> f(1992393442) 
fontFamily(208462407) -> fontFamily(1992393442) 
style(208462407) -> style(1992393442) 
triplet(208462407) -> triplet(1992393442) 
$r0(208462407) -> $r0(1992393442) 
$r1(208462407) -> $r1(1992393442) 
$r2(208462407) -> $r2(1992393442) 
0(1081846192) -> 0(1992393442) 
this(1081846192) -> this(1992393442) 
f(1081846192) -> f(1992393442) 
fontFamily(1081846192) -> fontFamily(1992393442) 
style(1081846192) -> style(1992393442) 
triplet(1081846192) -> triplet(1992393442) 
$r0(1081846192) -> $r0(1992393442) 
$r1(1081846192) -> $r1(1992393442) 
$r2(1081846192) -> $r2(1992393442) 
0(1992393442) -> 0(1012817236) 
this(1992393442) -> this(1012817236) 
f(1992393442) -> f(1012817236) 
fontFamily(1992393442) -> fontFamily(1012817236) 
triplet(1992393442) -> triplet(1012817236) 
$r0(1992393442) -> style(1012817236) 
$r0(1992393442) -> $r0(1012817236) 
$r1(1992393442) -> $r1(1012817236) 
$r2(1992393442) -> $r2(1012817236) 
0(1012817236) -> 0(-1012817236) 
this(1012817236) -> this(-1012817236) 
f(1012817236) -> f(-1012817236) 
fontFamily(1012817236) -> fontFamily(-1012817236) 
style(1012817236) -> style(-1012817236) 
triplet(1012817236) -> triplet(-1012817236) 
$r0(1012817236) -> $r0(-1012817236) 
$r1(1012817236) -> $r1(-1012817236) 
$r2(1012817236) -> $r2(-1012817236) 
0(-1012817236) -> 0(1463899330) 
this(-1012817236) -> this(1463899330) 
f(-1012817236) -> f(1463899330) 
fontFamily(-1012817236) -> fontFamily(1463899330) 
style(-1012817236) -> style(1463899330) 
triplet(-1012817236) -> triplet(1463899330) 
$r0(-1012817236) -> $r0(1463899330) 
$r1(-1012817236) -> $r1(1463899330) 
$r2(-1012817236) -> $r2(1463899330) 
0(1463899330) -> 0(1945068862) 
this(1463899330) -> this(1945068862) 
f(1463899330) -> f(1945068862) 
fontFamily(1463899330) -> fontFamily(1945068862) 
style(1463899330) -> style(1945068862) 
triplet(1463899330) -> triplet(1945068862) 
$r0(1463899330) -> $r0(1945068862) 
$r1(1463899330) -> $r1(1945068862) 
$r2(1463899330) -> $r2(1945068862) 
0(1463899330) -> 0(35895631) 
this(1463899330) -> this(35895631) 
f(1463899330) -> f(35895631) 
fontFamily(1463899330) -> fontFamily(35895631) 
style(1463899330) -> style(35895631) 
triplet(1463899330) -> triplet(35895631) 
$r0(1463899330) -> $r0(35895631) 
$r1(1463899330) -> $r1(35895631) 
$r2(1463899330) -> $r2(35895631) 
0(35895631) -> 0(2002449057) 
this(35895631) -> this(2002449057) 
f(35895631) -> f(2002449057) 
fontFamily(35895631) -> fontFamily(2002449057) 
style(35895631) -> style(2002449057) 
triplet(35895631) -> triplet(2002449057) 
$r0(35895631) -> $r0(2002449057) 
$r1(35895631) -> $r1(2002449057) 
$r2(35895631) -> $r2(2002449057) 
0(2002449057) -> 0(1776289000) 
this(2002449057) -> this(1776289000) 
f(2002449057) -> f(1776289000) 
fontFamily(2002449057) -> fontFamily(1776289000) 
style(2002449057) -> style(1776289000) 
triplet(2002449057) -> triplet(1776289000) 
$r0(2002449057) -> $r0(1776289000) 
$r1(2002449057) -> $r1(1776289000) 
$r2(2002449057) -> $r2(1776289000) 
0(1945068862) -> 0(1776289000) 
this(1945068862) -> this(1776289000) 
f(1945068862) -> f(1776289000) 
fontFamily(1945068862) -> fontFamily(1776289000) 
style(1945068862) -> style(1776289000) 
triplet(1945068862) -> triplet(1776289000) 
$r0(1945068862) -> $r0(1776289000) 
$r1(1945068862) -> $r1(1776289000) 
$r2(1945068862) -> $r2(1776289000) 
0(1776289000) -> 0(350118478) 
this(1776289000) -> this(350118478) 
f(1776289000) -> f(350118478) 
fontFamily(1776289000) -> fontFamily(350118478) 
style(1776289000) -> style(350118478) 
triplet(1776289000) -> triplet(350118478) 
$r0(1776289000) -> $r0(350118478) 
$r1(1776289000) -> $r1(350118478) 
$r2(1776289000) -> $r2(350118478) 
0(350118478) -> 0(624946402) 
this(350118478) -> this(624946402) 
f(350118478) -> f(624946402) 
fontFamily(350118478) -> fontFamily(624946402) 
style(350118478) -> style(624946402) 
triplet(350118478) -> triplet(624946402) 
$r0(350118478) -> $r0(624946402) 
$r1(350118478) -> $r1(624946402) 
$r2(350118478) -> $r2(624946402) 
0(624946402) -> 0(-624946402) 
this(624946402) -> this(-624946402) 
f(624946402) -> f(-624946402) 
fontFamily(624946402) -> fontFamily(-624946402) 
style(624946402) -> style(-624946402) 
$r0(624946402) -> $r0(-624946402) 
$r1(624946402) -> $r1(-624946402) 
$r2(624946402) -> $r2(-624946402) 
0(-624946402) -> 0(917211749) 
this(-624946402) -> this(917211749) 
f(-624946402) -> f(917211749) 
fontFamily(-624946402) -> fontFamily(917211749) 
style(-624946402) -> style(917211749) 
triplet(-624946402) -> triplet(917211749) 
$r0(-624946402) -> $r0(917211749) 
$r1(-624946402) -> $r1(917211749) 
$r2(-624946402) -> $r2(917211749) 
0(917211749) -> 0(1045422659) 
this(917211749) -> this(1045422659) 
f(917211749) -> f(1045422659) 
fontFamily(917211749) -> fontFamily(1045422659) 
style(917211749) -> style(1045422659) 
triplet(917211749) -> triplet(1045422659) 
$r0(917211749) -> $r0(1045422659) 
$r1(917211749) -> $r1(1045422659) 
$r2(917211749) -> $r2(1045422659) 
0(917211749) -> 0(1551309913) 
this(917211749) -> this(1551309913) 
f(917211749) -> f(1551309913) 
fontFamily(917211749) -> fontFamily(1551309913) 
style(917211749) -> style(1551309913) 
triplet(917211749) -> triplet(1551309913) 
$r0(917211749) -> $r0(1551309913) 
$r1(917211749) -> $r1(1551309913) 
$r2(917211749) -> $r2(1551309913) 
0(1551309913) -> 0(1544303978) 
this(1551309913) -> this(1544303978) 
f(1551309913) -> f(1544303978) 
fontFamily(1551309913) -> fontFamily(1544303978) 
style(1551309913) -> style(1544303978) 
triplet(1551309913) -> triplet(1544303978) 
$r0(1551309913) -> $r0(1544303978) 
$r1(1551309913) -> $r1(1544303978) 
$r2(1551309913) -> $r2(1544303978) 
0(1544303978) -> 0(-1544303978) 
this(1544303978) -> this(-1544303978) 
f(1544303978) -> f(-1544303978) 
fontFamily(1544303978) -> fontFamily(-1544303978) 
style(1544303978) -> style(-1544303978) 
$r0(1544303978) -> $r0(-1544303978) 
$r1(1544303978) -> $r1(-1544303978) 
$r2(1544303978) -> $r2(-1544303978) 
0(-1544303978) -> 0(1045422659) 
this(-1544303978) -> this(1045422659) 
f(-1544303978) -> f(1045422659) 
fontFamily(-1544303978) -> fontFamily(1045422659) 
style(-1544303978) -> style(1045422659) 
triplet(-1544303978) -> triplet(1045422659) 
$r0(-1544303978) -> $r0(1045422659) 
$r1(-1544303978) -> $r1(1045422659) 
$r2(-1544303978) -> $r2(1045422659) 
0(1045422659) -> 0(179708632) 
