method: org.apache.fop.render.AbstractGenericSVGHandler.<init>:1056696952
0(1056696952) -> 0(1080147182) 
this(1056696952) -> this(1080147182) 
0(1080147182) -> 0(406634681) 
this(1080147182) -> this(406634681) 
0(406634681) -> 0(1016118813) 
this(406634681) -> this(1016118813) 
0(1016118813) -> 0(-1056696952) 
this(1016118813) -> this(-1056696952) 
0(1016118813) -> .return(-1056696952) 
