method: org.apache.fop.render.xml.XMLRenderer.renderInlineAreaBackAndBorders:1213469110
2382630 -> 2382631
2382632 -> 2382633
2382634 -> 2382635
2382631 -> 2382636
2382633 -> 2382637
2382635 -> 2382638
2382636 -> 2382639
2382637 -> 2382640
2382638 -> 2382641
2382639 -> 2382642
2382640 -> 2382643
2382641 -> 2382644
2382639 -> 2382645
