method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfExternalGraphic.computeImageSize:2065798751
0(2065798751) -> 0(1762212059) 
this(2065798751) -> this(1762212059) 
0(2065798751) -> $r0(1762212059) 
0(2065798751) -> $r1(1762212059) 
0(2065798751) -> $r2(1762212059) 
0(1762212059) -> 0(1030952719) 
this(1762212059) -> this(1030952719) 
$r0(1762212059) -> $r0(1030952719) 
$r1(1762212059) -> $r1(1030952719) 
$r2(1762212059) -> $r2(1030952719) 
0(1030952719) -> 0(1324284237) 
this(1030952719) -> this(1324284237) 
$r0(1030952719) -> $r0(1324284237) 
$r1(1030952719) -> $r1(1324284237) 
$r2(1030952719) -> $r2(1324284237) 
0(1324284237) -> 0(-1324284237) 
this(1324284237) -> this(-1324284237) 
$r0(1324284237) -> $r0(-1324284237) 
$r1(1324284237) -> $r1(-1324284237) 
$r2(1324284237) -> $r2(-1324284237) 
0(-1324284237) -> 0(875830920) 
this(-1324284237) -> this(875830920) 
$r0(-1324284237) -> $r0(875830920) 
$r1(-1324284237) -> $r1(875830920) 
$r2(-1324284237) -> $r2(875830920) 
0(875830920) -> 0(307215346) 
this(875830920) -> this(307215346) 
$r0(875830920) -> $r0(307215346) 
$r1(875830920) -> $r1(307215346) 
$r2(875830920) -> $r2(307215346) 
0(875830920) -> 0(1062945072) 
this(875830920) -> this(1062945072) 
$r0(875830920) -> $r0(1062945072) 
$r1(875830920) -> $r1(1062945072) 
$r2(875830920) -> $r2(1062945072) 
0(1062945072) -> 0(1074129017) 
this(1062945072) -> this(1074129017) 
$r0(1062945072) -> $r0(1074129017) 
$r1(1062945072) -> $r1(1074129017) 
$r2(1062945072) -> $r2(1074129017) 
0(1074129017) -> 0(-1074129017) 
this(1074129017) -> this(-1074129017) 
$r0(1074129017) -> $r0(-1074129017) 
$r1(1074129017) -> $r1(-1074129017) 
$r2(1074129017) -> $r2(-1074129017) 
0(-1074129017) -> 0(1138852037) 
this(-1074129017) -> this(1138852037) 
$r0(-1074129017) -> $r0(1138852037) 
$r1(-1074129017) -> $r1(1138852037) 
$r2(-1074129017) -> $r2(1138852037) 
0(1138852037) -> 0(751307681) 
this(1138852037) -> this(751307681) 
$r0(1138852037) -> $r0(751307681) 
$r1(1138852037) -> $r1(751307681) 
$r2(1138852037) -> $r2(751307681) 
0(751307681) -> 0(12349649) 
this(751307681) -> this(12349649) 
$r0(751307681) -> $r0(12349649) 
$r1(751307681) -> $r1(12349649) 
$r2(751307681) -> $r2(12349649) 
0(12349649) -> 0(-12349649) 
this(12349649) -> this(-12349649) 
$r0(12349649) -> $r0(-12349649) 
$r1(12349649) -> $r1(-12349649) 
$r2(12349649) -> $r2(-12349649) 
0(-12349649) -> 0(1402120631) 
this(-12349649) -> this(1402120631) 
$r0(-12349649) -> $r0(1402120631) 
$r1(-12349649) -> $r1(1402120631) 
$r2(-12349649) -> $r2(1402120631) 
0(1402120631) -> 0(1103386686) 
this(1402120631) -> this(1103386686) 
$r0(1402120631) -> $r0(1103386686) 
$r1(1402120631) -> $r1(1103386686) 
$r2(1402120631) -> $r2(1103386686) 
0(1103386686) -> 0(568455959) 
this(1103386686) -> this(568455959) 
$r0(1103386686) -> $r0(568455959) 
$r1(1103386686) -> $r1(568455959) 
$r2(1103386686) -> $r2(568455959) 
0(307215346) -> 0(817632834) 
this(307215346) -> this(817632834) 
$r0(307215346) -> $r0(817632834) 
$r1(307215346) -> $r1(817632834) 
$r2(307215346) -> $r2(817632834) 
0(817632834) -> 0(-817632834) 
this(817632834) -> this(-817632834) 
$r0(817632834) -> $r0(-817632834) 
$r1(817632834) -> $r1(-817632834) 
$r2(817632834) -> $r2(-817632834) 
0(-817632834) -> 0(1068563408) 
this(-817632834) -> this(1068563408) 
$r0(-817632834) -> $r0(1068563408) 
$r1(-817632834) -> $r1(1068563408) 
$r2(-817632834) -> $r2(1068563408) 
0(1068563408) -> 0(1817804674) 
this(1068563408) -> this(1817804674) 
$r0(1068563408) -> $r0(1817804674) 
$r1(1068563408) -> $r1(1817804674) 
$r2(1068563408) -> $r2(1817804674) 
0(1068563408) -> 0(384493443) 
this(1068563408) -> this(384493443) 
$r0(1068563408) -> $r0(384493443) 
$r1(1068563408) -> $r1(384493443) 
$r2(1068563408) -> $r2(384493443) 
0(384493443) -> 0(102586508) 
this(384493443) -> this(102586508) 
$r0(384493443) -> $r0(102586508) 
$r1(384493443) -> $r1(102586508) 
$r2(384493443) -> $r2(102586508) 
0(102586508) -> 0(763755198) 
this(102586508) -> this(763755198) 
$r0(102586508) -> $r0(763755198) 
$r1(102586508) -> $r1(763755198) 
$r2(102586508) -> $r2(763755198) 
0(763755198) -> 0(918620459) 
this(763755198) -> this(918620459) 
$r0(763755198) -> $r0(918620459) 
$r1(763755198) -> $r1(918620459) 
$r2(763755198) -> $r2(918620459) 
0(918620459) -> 0(1927676478) 
this(918620459) -> this(1927676478) 
$r0(918620459) -> $r0(1927676478) 
$r1(918620459) -> $r1(1927676478) 
$r2(918620459) -> $r2(1927676478) 
0(1927676478) -> 0(1520267104) 
this(1927676478) -> this(1520267104) 
$r0(1927676478) -> $r0(1520267104) 
$r1(1927676478) -> $r1(1520267104) 
$r2(1927676478) -> $r2(1520267104) 
0(1520267104) -> 0(368784922) 
this(1520267104) -> this(368784922) 
$r0(1520267104) -> $r0(368784922) 
$r1(1520267104) -> $r1(368784922) 
$r2(1520267104) -> $r2(368784922) 
0(368784922) -> 0(132235424) 
this(368784922) -> this(132235424) 
$r0(368784922) -> $r0(132235424) 
$r1(368784922) -> $r1(132235424) 
$r2(368784922) -> $r2(132235424) 
0(368784922) -> 0(2019558234) 
this(368784922) -> this(2019558234) 
$r0(368784922) -> $r0(2019558234) 
$r1(368784922) -> $r1(2019558234) 
$r2(368784922) -> $r2(2019558234) 
0(2019558234) -> 0(200150432) 
this(2019558234) -> this(200150432) 
$r0(2019558234) -> $r0(200150432) 
$r1(2019558234) -> $r1(200150432) 
$r2(2019558234) -> $r2(200150432) 
0(200150432) -> 0(1414837579) 
this(200150432) -> this(1414837579) 
$r0(200150432) -> $r0(1414837579) 
$r1(200150432) -> $r1(1414837579) 
$r2(200150432) -> $r2(1414837579) 
0(1414837579) -> 0(555347008) 
this(1414837579) -> this(555347008) 
$r0(1414837579) -> $r0(555347008) 
$r1(1414837579) -> $r1(555347008) 
$r2(1414837579) -> $r2(555347008) 
0(1414837579) -> 0(88767022) 
this(1414837579) -> this(88767022) 
$r0(1414837579) -> $r0(88767022) 
$r1(1414837579) -> $r1(88767022) 
$r2(1414837579) -> $r2(88767022) 
0(88767022) -> 0(2116229362) 
this(88767022) -> this(2116229362) 
$r0(88767022) -> $r0(2116229362) 
$r1(88767022) -> $r1(2116229362) 
$r2(88767022) -> $r2(2116229362) 
0(555347008) -> 0(753233594) 
this(555347008) -> this(753233594) 
$r0(555347008) -> $r0(753233594) 
$r1(555347008) -> $r1(753233594) 
$r2(555347008) -> $r2(753233594) 
0(753233594) -> 0(1953968946) 
this(753233594) -> this(1953968946) 
$r0(753233594) -> $r0(1953968946) 
$r1(753233594) -> $r1(1953968946) 
$r2(753233594) -> $r2(1953968946) 
0(1953968946) -> 0(1036145498) 
this(1953968946) -> this(1036145498) 
$r0(1953968946) -> $r0(1036145498) 
$r1(1953968946) -> $r1(1036145498) 
$r2(1953968946) -> $r2(1036145498) 
0(1036145498) -> 0(1840872710) 
this(1036145498) -> this(1840872710) 
$r0(1036145498) -> $r0(1840872710) 
$r1(1036145498) -> $r1(1840872710) 
$r2(1036145498) -> $r2(1840872710) 
0(1036145498) -> 0(552491363) 
this(1036145498) -> this(552491363) 
$r0(1036145498) -> $r0(552491363) 
$r1(1036145498) -> $r1(552491363) 
$r2(1036145498) -> $r2(552491363) 
0(552491363) -> 0(2116229362) 
this(552491363) -> this(2116229362) 
$r0(552491363) -> $r0(2116229362) 
$r1(552491363) -> $r1(2116229362) 
$r2(552491363) -> $r2(2116229362) 
0(1840872710) -> 0(342725431) 
this(1840872710) -> this(342725431) 
$r0(1840872710) -> $r0(342725431) 
$r1(1840872710) -> $r1(342725431) 
$r2(1840872710) -> $r2(342725431) 
0(342725431) -> 0(288092104) 
this(342725431) -> this(288092104) 
$r0(342725431) -> $r0(288092104) 
$r1(342725431) -> $r1(288092104) 
$r2(342725431) -> $r2(288092104) 
0(288092104) -> 0(139081823) 
this(288092104) -> this(139081823) 
$r0(288092104) -> $r0(139081823) 
$r1(288092104) -> $r1(139081823) 
$r2(288092104) -> $r2(139081823) 
0(139081823) -> 0(1318465404) 
this(139081823) -> this(1318465404) 
$r0(139081823) -> $r0(1318465404) 
$r1(139081823) -> $r1(1318465404) 
$r2(139081823) -> $r2(1318465404) 
0(139081823) -> 0(1085991225) 
this(139081823) -> this(1085991225) 
$r0(139081823) -> $r0(1085991225) 
$r1(139081823) -> $r1(1085991225) 
$r2(139081823) -> $r2(1085991225) 
0(1085991225) -> 0(2116229362) 
this(1085991225) -> this(2116229362) 
$r0(1085991225) -> $r0(2116229362) 
$r1(1085991225) -> $r1(2116229362) 
$r2(1085991225) -> $r2(2116229362) 
0(1318465404) -> 0(1711775282) 
this(1318465404) -> this(1711775282) 
$r0(1318465404) -> $r0(1711775282) 
$r1(1318465404) -> $r1(1711775282) 
$r2(1318465404) -> $r2(1711775282) 
0(1711775282) -> 0(132235424) 
this(1711775282) -> this(132235424) 
$r0(1711775282) -> $r0(132235424) 
$r1(1711775282) -> $r1(132235424) 
$r2(1711775282) -> $r2(132235424) 
0(2116229362) -> 0(842725520) 
this(2116229362) -> this(842725520) 
$r0(2116229362) -> $r0(842725520) 
$r1(2116229362) -> $r1(842725520) 
$r2(2116229362) -> $r2(842725520) 
0(842725520) -> 0(1927676478) 
this(842725520) -> this(1927676478) 
$r0(842725520) -> $r0(1927676478) 
$r1(842725520) -> $r1(1927676478) 
$r2(842725520) -> $r2(1927676478) 
0(132235424) -> 0(313123403) 
this(132235424) -> this(313123403) 
$r0(132235424) -> $r0(313123403) 
$r1(132235424) -> $r1(313123403) 
$r2(132235424) -> $r2(313123403) 
0(132235424) -> 0(337405822) 
this(132235424) -> this(337405822) 
$r0(132235424) -> $r0(337405822) 
$r1(132235424) -> $r1(337405822) 
$r2(132235424) -> $r2(337405822) 
0(337405822) -> 0(1809877808) 
this(337405822) -> this(1809877808) 
$r0(337405822) -> $r0(1809877808) 
$r1(337405822) -> $r1(1809877808) 
$r2(337405822) -> $r2(1809877808) 
0(1809877808) -> 0(531460296) 
this(1809877808) -> this(531460296) 
$r0(1809877808) -> $r0(531460296) 
$r1(1809877808) -> $r1(531460296) 
$r2(1809877808) -> $r2(531460296) 
0(531460296) -> 0(-531460296) 
this(531460296) -> this(-531460296) 
$r0(531460296) -> $r0(-531460296) 
$r1(531460296) -> $r1(-531460296) 
$r2(531460296) -> $r2(-531460296) 
0(-531460296) -> 0(868706999) 
this(-531460296) -> this(868706999) 
$r0(-531460296) -> $r0(868706999) 
$r1(-531460296) -> $r1(868706999) 
$r2(-531460296) -> $r2(868706999) 
0(868706999) -> 0(1873626670) 
this(868706999) -> this(1873626670) 
$r0(868706999) -> $r0(1873626670) 
$r1(868706999) -> $r1(1873626670) 
$r2(868706999) -> $r2(1873626670) 
0(1873626670) -> 0(796271867) 
this(1873626670) -> this(796271867) 
$r0(1873626670) -> $r0(796271867) 
$r1(1873626670) -> $r1(796271867) 
$r2(1873626670) -> $r2(796271867) 
0(796271867) -> 0(-796271867) 
this(796271867) -> this(-796271867) 
$r0(796271867) -> $r0(-796271867) 
$r1(796271867) -> $r1(-796271867) 
$r2(796271867) -> $r2(-796271867) 
0(-796271867) -> 0(1970664212) 
this(-796271867) -> this(1970664212) 
$r0(-796271867) -> $r0(1970664212) 
$r1(-796271867) -> $r1(1970664212) 
$r2(-796271867) -> $r2(1970664212) 
0(1970664212) -> 0(313123403) 
this(1970664212) -> this(313123403) 
$r0(1970664212) -> $r0(313123403) 
$r1(1970664212) -> $r1(313123403) 
$r2(1970664212) -> $r2(313123403) 
0(313123403) -> 0(568455959) 
this(313123403) -> this(568455959) 
$r0(313123403) -> $r0(568455959) 
$r1(313123403) -> $r1(568455959) 
$r2(313123403) -> $r2(568455959) 
0(1817804674) -> 0(1740793696) 
this(1817804674) -> this(1740793696) 
$r0(1817804674) -> $r0(1740793696) 
$r1(1817804674) -> $r1(1740793696) 
$r2(1817804674) -> $r2(1740793696) 
0(1740793696) -> 0(-1740793696) 
this(1740793696) -> this(-1740793696) 
$r0(1740793696) -> $r0(-1740793696) 
$r1(1740793696) -> $r1(-1740793696) 
$r2(1740793696) -> $r2(-1740793696) 
0(-1740793696) -> 0(202441944) 
this(-1740793696) -> this(202441944) 
$r0(-1740793696) -> $r0(202441944) 
