method: org.apache.fop.svg.PDFANode.setTransform:1932802136
2394336 -> 2394337
2394338 -> 2394339
2394340 -> 2394341
2394337 -> 2394342
2394339 -> 2394343
2394341 -> 2394344
2394342 -> 2394345
2394343 -> 2394346
2394344 -> 2394347
2394345 -> 2394348
2394346 -> 2394349
2394347 -> 2394350
2394348 -> 2394351
2394349 -> 2394352
2394350 -> 2394353
2394348 -> 2394354
