method: org.apache.fop.layoutmgr.PageBreakingAlgorithm.restartFrom:1608707226
0(1608707226) -> 0(1271491485) 
this(1608707226) -> this(1271491485) 
restartingNode(1608707226) -> restartingNode(1271491485) 
0(1608707226) -> resettedElement(1271491485) 
0(1608707226) -> $r0(1271491485) 
0(1608707226) -> $r1(1271491485) 
0(1608707226) -> $r2(1271491485) 
0(1271491485) -> 0(347617098) 
this(1271491485) -> this(347617098) 
restartingNode(1271491485) -> restartingNode(347617098) 
resettedElement(1271491485) -> resettedElement(347617098) 
$r0(1271491485) -> $r0(347617098) 
$r1(1271491485) -> $r1(347617098) 
$r2(1271491485) -> $r2(347617098) 
0(347617098) -> 0(1245046246) 
this(347617098) -> this(1245046246) 
restartingNode(347617098) -> restartingNode(1245046246) 
resettedElement(347617098) -> resettedElement(1245046246) 
$r0(347617098) -> $r0(1245046246) 
$r1(347617098) -> $r1(1245046246) 
$r2(347617098) -> $r2(1245046246) 
0(1245046246) -> 0(2001051124) 
this(1245046246) -> this(2001051124) 
restartingNode(1245046246) -> restartingNode(2001051124) 
resettedElement(1245046246) -> resettedElement(2001051124) 
$r0(1245046246) -> $r0(2001051124) 
$r1(1245046246) -> $r1(2001051124) 
$r2(1245046246) -> $r2(2001051124) 
0(2001051124) -> 0(-2001051124) 
this(2001051124) -> this(-2001051124) 
restartingNode(2001051124) -> restartingNode(-2001051124) 
resettedElement(2001051124) -> resettedElement(-2001051124) 
$r0(2001051124) -> $r0(-2001051124) 
$r1(2001051124) -> $r1(-2001051124) 
$r2(2001051124) -> $r2(-2001051124) 
0(-2001051124) -> 0(598618339) 
this(-2001051124) -> this(598618339) 
restartingNode(-2001051124) -> restartingNode(598618339) 
resettedElement(-2001051124) -> resettedElement(598618339) 
$r0(-2001051124) -> $r0(598618339) 
$r1(-2001051124) -> $r1(598618339) 
$r2(-2001051124) -> $r2(598618339) 
0(598618339) -> 0(545452407) 
this(598618339) -> this(545452407) 
restartingNode(598618339) -> restartingNode(545452407) 
resettedElement(598618339) -> resettedElement(545452407) 
$r0(598618339) -> $r0(545452407) 
$r1(598618339) -> $r1(545452407) 
$r2(598618339) -> $r2(545452407) 
0(545452407) -> 0(1958399053) 
this(545452407) -> this(1958399053) 
restartingNode(545452407) -> restartingNode(1958399053) 
resettedElement(545452407) -> resettedElement(1958399053) 
$r0(545452407) -> $r0(1958399053) 
$r1(545452407) -> $r1(1958399053) 
$r2(545452407) -> $r2(1958399053) 
0(1958399053) -> 0(49827556) 
this(1958399053) -> this(49827556) 
restartingNode(1958399053) -> restartingNode(49827556) 
resettedElement(1958399053) -> resettedElement(49827556) 
$r0(1958399053) -> $r0(49827556) 
$r1(1958399053) -> $r1(49827556) 
$r2(1958399053) -> $r2(49827556) 
0(1958399053) -> 0(1574731284) 
this(1958399053) -> this(1574731284) 
restartingNode(1958399053) -> restartingNode(1574731284) 
resettedElement(1958399053) -> resettedElement(1574731284) 
$r0(1958399053) -> $r0(1574731284) 
$r1(1958399053) -> $r1(1574731284) 
$r2(1958399053) -> $r2(1574731284) 
0(1574731284) -> 0(466902399) 
this(1574731284) -> this(466902399) 
restartingNode(1574731284) -> restartingNode(466902399) 
resettedElement(1574731284) -> resettedElement(466902399) 
$r0(1574731284) -> $r0(466902399) 
$r1(1574731284) -> $r1(466902399) 
$r2(1574731284) -> $r2(466902399) 
0(466902399) -> 0(323373855) 
this(466902399) -> this(323373855) 
restartingNode(466902399) -> restartingNode(323373855) 
resettedElement(466902399) -> resettedElement(323373855) 
$r0(466902399) -> $r0(323373855) 
$r1(466902399) -> $r1(323373855) 
$r2(466902399) -> $r2(323373855) 
0(323373855) -> 0(49827556) 
this(323373855) -> this(49827556) 
