method: org.apache.fop.fonts.FontType.<init>:489000423
805631 -> 805632
805633 -> 805634
805635 -> 805636
805632 -> 805637
805634 -> 805638
805636 -> 805639
805637 -> 805640
805638 -> 805641
805639 -> 805642
805640 -> 805643
805641 -> 805644
805642 -> 805645
805643 -> 805646
805644 -> 805647
805645 -> 805648
805646 -> 805649
805647 -> 805650
805648 -> 805651
805646 -> 805652
