method: org.apache.fop.fo.flow.table.ConditionalBorder.getDefaultBorder:74199648
216003 -> 216004
216005 -> 216006
216003 -> 216007
216003 -> 216008
216004 -> 216009
216006 -> 216010
216007 -> 216011
216008 -> 216012
216009 -> 216013
216010 -> 216014
216012 -> 216015
216013 -> 216016
216014 -> 216017
216018 -> 216019
216015 -> 216020
216016 -> 216021
216017 -> 216022
216019 -> 216023
216021 -> 216024
216022 -> 216025
216023 -> 216026
216027 -> 216028
216024 -> 216029
216025 -> 216030
216026 -> 216031
216028 -> 216032
216028 -> 216033
