method: org.apache.fop.render.java2d.Java2DRenderer.drawBorderLine:1092323357
1912609 -> 1912623
1912610 -> 1912624
1912611 -> 1912625
1912612 -> 1912626
1912613 -> 1912627
1912614 -> 1912628
1912615 -> 1912629
1912616 -> 1912630
1912617 -> 1912631
1912618 -> 1912632
1912619 -> 1912633
1912620 -> 1912634
1912609 -> 1912623
1912607 -> 1912579
1912608 -> 1912580
1912609 -> 1912581
1912610 -> 1912582
1912611 -> 1912583
1912612 -> 1912584
1912613 -> 1912585
1912614 -> 1912586
1912615 -> 1912587
1912616 -> 1912588
1912617 -> 1912589
1912618 -> 1912590
1912619 -> 1912591
1912620 -> 1912592
1912609 -> 1912581
1912579 -> 1912635
1912580 -> 1912636
1912581 -> 1912637
1912582 -> 1912638
1912583 -> 1912639
1912584 -> 1912640
1912585 -> 1912641
1912586 -> 1912642
1912587 -> 1912643
1912588 -> 1912644
1912589 -> 1912645
1912590 -> 1912646
1912591 -> 1912647
1912592 -> 1912648
1912581 -> 1912637
1912635 -> 1912649
1912636 -> 1912650
1912637 -> 1912651
1912638 -> 1912652
1912639 -> 1912653
1912640 -> 1912654
1912641 -> 1912655
1912642 -> 1912656
1912643 -> 1912657
1912644 -> 1912658
1912645 -> 1912659
1912646 -> 1912660
1912647 -> 1912661
1912648 -> 1912662
1912637 -> 1912651
1912649 -> 1912663
1912650 -> 1912664
1912651 -> 1912665
1912652 -> 1912666
1912653 -> 1912667
1912654 -> 1912668
1912655 -> 1912669
1912656 -> 1912670
1912657 -> 1912671
1912658 -> 1912672
1912659 -> 1912673
1912660 -> 1912674
1912661 -> 1912675
1912662 -> 1912676
1912651 -> 1912665
1912649 -> 1912677
1912621 -> 1912663
1912622 -> 1912664
1912623 -> 1912665
1912624 -> 1912666
1912625 -> 1912667
1912626 -> 1912668
1912627 -> 1912669
1912628 -> 1912670
1912629 -> 1912671
1912630 -> 1912672
1912631 -> 1912673
1912632 -> 1912674
1912633 -> 1912675
1912634 -> 1912676
1912623 -> 1912665
1912678 -> 1912679
1912680 -> 1912681
1912682 -> 1912683
1912684 -> 1912685
1912686 -> 1912687
1912688 -> 1912689
1912690 -> 1912691
1912692 -> 1912693
1912694 -> 1912695
1912696 -> 1912697
1912698 -> 1912699
1912700 -> 1912701
1912702 -> 1912703
1912704 -> 1912705
1912682 -> 1912683
1912679 -> 1912706
1912681 -> 1912707
1912683 -> 1912708
1912685 -> 1912709
1912687 -> 1912710
1912689 -> 1912711
1912691 -> 1912712
1912693 -> 1912713
1912695 -> 1912714
1912697 -> 1912715
1912699 -> 1912716
1912701 -> 1912717
1912703 -> 1912718
1912705 -> 1912719
1912683 -> 1912708
1912679 -> 1912720
1912681 -> 1912721
1912683 -> 1912722
1912685 -> 1912723
1912687 -> 1912724
1912689 -> 1912725
1912691 -> 1912726
1912693 -> 1912727
1912695 -> 1912728
1912697 -> 1912729
1912699 -> 1912730
1912701 -> 1912731
1912703 -> 1912732
1912705 -> 1912733
1912683 -> 1912722
1912720 -> 1912734
1912721 -> 1912735
1912722 -> 1912736
1912723 -> 1912737
1912724 -> 1912738
1912725 -> 1912739
1912726 -> 1912740
1912727 -> 1912741
1912728 -> 1912742
1912729 -> 1912743
1912730 -> 1912744
1912731 -> 1912745
1912732 -> 1912746
1912733 -> 1912747
1912722 -> 1912736
1912734 -> 1912748
1912735 -> 1912749
1912736 -> 1912750
1912737 -> 1912751
1912738 -> 1912752
1912739 -> 1912753
1912740 -> 1912754
1912741 -> 1912755
1912742 -> 1912756
1912743 -> 1912757
1912744 -> 1912758
1912745 -> 1912759
1912746 -> 1912760
1912747 -> 1912761
1912736 -> 1912750
1912748 -> 1912762
1912749 -> 1912763
1912750 -> 1912764
1912751 -> 1912765
1912752 -> 1912766
1912753 -> 1912767
1912754 -> 1912768
1912755 -> 1912769
1912756 -> 1912770
1912757 -> 1912771
1912758 -> 1912772
1912759 -> 1912773
1912760 -> 1912774
1912761 -> 1912775
1912750 -> 1912764
1912762 -> 1912776
1912763 -> 1912777
1912764 -> 1912778
1912765 -> 1912779
1912766 -> 1912780
1912767 -> 1912781
1912768 -> 1912782
1912769 -> 1912783
1912770 -> 1912784
1912771 -> 1912785
1912772 -> 1912786
1912773 -> 1912787
1912774 -> 1912788
1912775 -> 1912789
1912764 -> 1912778
1912776 -> 1912790
1912777 -> 1912791
1912778 -> 1912792
1912779 -> 1912793
1912780 -> 1912794
1912781 -> 1912795
1912782 -> 1912796
1912783 -> 1912797
1912784 -> 1912798
1912785 -> 1912799
1912786 -> 1912800
1912787 -> 1912801
1912788 -> 1912802
1912789 -> 1912803
1912778 -> 1912792
1912790 -> 1912804
1912791 -> 1912805
1912792 -> 1912806
1912793 -> 1912807
1912794 -> 1912808
1912795 -> 1912809
1912796 -> 1912810
1912797 -> 1912811
1912798 -> 1912812
1912799 -> 1912813
1912800 -> 1912814
1912801 -> 1912815
1912802 -> 1912816
1912803 -> 1912817
1912792 -> 1912806
1912804 -> 1912818
1912805 -> 1912819
1912806 -> 1912820
1912807 -> 1912821
1912808 -> 1912822
1912809 -> 1912823
1912810 -> 1912824
1912811 -> 1912825
1912812 -> 1912826
1912813 -> 1912827
1912814 -> 1912828
1912815 -> 1912829
1912816 -> 1912830
1912817 -> 1912831
1912806 -> 1912820
1912804 -> 1912832
1912805 -> 1912833
1912806 -> 1912834
1912807 -> 1912835
1912808 -> 1912836
1912809 -> 1912837
1912810 -> 1912838
1912811 -> 1912839
1912812 -> 1912840
1912813 -> 1912841
1912814 -> 1912842
1912815 -> 1912843
1912816 -> 1912844
1912817 -> 1912845
1912806 -> 1912834
1912832 -> 1912818
1912833 -> 1912819
1912834 -> 1912820
1912835 -> 1912821
1912836 -> 1912822
1912837 -> 1912823
1912838 -> 1912824
1912839 -> 1912825
1912840 -> 1912826
1912841 -> 1912827
1912842 -> 1912828
1912843 -> 1912829
1912844 -> 1912830
1912845 -> 1912831
1912834 -> 1912820
1912818 -> 1912846
1912819 -> 1912847
1912820 -> 1912848
1912821 -> 1912849
1912822 -> 1912850
1912823 -> 1912851
1912824 -> 1912852
1912825 -> 1912853
1912826 -> 1912854
1912827 -> 1912855
1912828 -> 1912856
1912829 -> 1912857
1912830 -> 1912858
1912831 -> 1912859
1912820 -> 1912848
1912846 -> 1912860
1912847 -> 1912861
1912848 -> 1912862
1912849 -> 1912863
1912850 -> 1912864
1912851 -> 1912865
1912852 -> 1912866
1912853 -> 1912867
1912854 -> 1912868
1912855 -> 1912869
1912856 -> 1912870
1912857 -> 1912871
1912858 -> 1912872
1912859 -> 1912873
1912848 -> 1912862
1912860 -> 1912874
1912861 -> 1912875
1912862 -> 1912876
1912863 -> 1912877
1912864 -> 1912878
1912865 -> 1912879
1912866 -> 1912880
1912867 -> 1912881
1912868 -> 1912882
1912869 -> 1912883
1912870 -> 1912884
1912871 -> 1912885
1912872 -> 1912886
1912873 -> 1912887
1912862 -> 1912876
1912874 -> 1912888
1912875 -> 1912889
1912876 -> 1912890
1912877 -> 1912891
1912878 -> 1912892
1912879 -> 1912893
1912880 -> 1912894
1912881 -> 1912895
1912882 -> 1912896
1912883 -> 1912897
1912884 -> 1912898
1912885 -> 1912899
1912886 -> 1912900
1912887 -> 1912901
1912876 -> 1912890
1912888 -> 1912902
1912889 -> 1912903
1912890 -> 1912904
1912891 -> 1912905
1912892 -> 1912906
1912893 -> 1912907
1912894 -> 1912908
1912895 -> 1912909
1912896 -> 1912910
1912897 -> 1912911
1912899 -> 1912912
1912900 -> 1912913
1912901 -> 1912914
1912890 -> 1912904
1912902 -> 1912915
1912903 -> 1912916
1912904 -> 1912917
1912905 -> 1912918
1912906 -> 1912919
1912907 -> 1912920
1912908 -> 1912921
1912909 -> 1912922
1912910 -> 1912923
1912911 -> 1912924
1912925 -> 1912926
1912913 -> 1912927
1912914 -> 1912928
1912904 -> 1912917
1912915 -> 1912929
1912916 -> 1912930
1912917 -> 1912931
1912918 -> 1912932
1912919 -> 1912933
1912920 -> 1912934
1912921 -> 1912935
1912922 -> 1912936
1912923 -> 1912937
1912924 -> 1912938
1912926 -> 1912939
1912940 -> 1912941
1912927 -> 1912942
1912928 -> 1912943
1912917 -> 1912931
1912929 -> 1912944
1912930 -> 1912945
1912931 -> 1912946
1912932 -> 1912947
1912933 -> 1912948
1912934 -> 1912949
1912935 -> 1912950
1912936 -> 1912951
1912937 -> 1912952
1912938 -> 1912953
1912939 -> 1912954
1912941 -> 1912955
1912942 -> 1912956
1912943 -> 1912957
1912931 -> 1912946
1912944 -> 1912958
1912945 -> 1912959
1912946 -> 1912960
1912947 -> 1912961
1912949 -> 1912962
1912950 -> 1912963
1912951 -> 1912964
1912952 -> 1912965
1912953 -> 1912966
1912954 -> 1912967
1912954 -> 1912968
1912955 -> 1912969
1912956 -> 1912970
1912957 -> 1912971
1912946 -> 1912960
1912958 -> 1912972
1912959 -> 1912973
1912960 -> 1912974
1912961 -> 1912975
1912967 -> 1912976
1912962 -> 1912977
1912963 -> 1912978
1912964 -> 1912979
1912965 -> 1912980
1912966 -> 1912981
1912968 -> 1912982
1912969 -> 1912983
1912970 -> 1912984
1912971 -> 1912985
1912960 -> 1912974
1912972 -> 1912986
1912973 -> 1912987
1912974 -> 1912988
1912975 -> 1912989
1912976 -> 1912990
1912977 -> 1912991
1912978 -> 1912992
1912979 -> 1912993
1912980 -> 1912994
1912981 -> 1912995
1912982 -> 1912996
1912983 -> 1912997
1912985 -> 1912998
1912974 -> 1912988
1912986 -> 1912999
1912987 -> 1913000
1912988 -> 1913001
1912989 -> 1913002
1912990 -> 1913003
1912991 -> 1913004
1912992 -> 1913005
1912993 -> 1913006
1912994 -> 1913007
1912995 -> 1913008
1912996 -> 1913009
