method: org.apache.fop.render.rtf.rtflib.tools.TableContext.getColumnIndex:2008180820
0(2008180820) -> 0(814508281) 
this(2008180820) -> this(814508281) 
0(814508281) -> 0(1518340770) 
this(814508281) -> this(1518340770) 
0(1518340770) -> 0(205144089) 
this(1518340770) -> this(205144089) 
0(205144089) -> 0(-2008180820) 
this(205144089) -> this(-2008180820) 
0(205144089) -> .return(-2008180820) 
