method: org.apache.fop.fo.flow.table.Table.getNumberOfColumns:1798523689
230779 -> 230780
230781 -> 230782
230779 -> 230783
230780 -> 230784
230782 -> 230785
230783 -> 230786
230784 -> 230787
230785 -> 230788
230786 -> 230789
230787 -> 230790
230788 -> 230791
230789 -> 230792
230790 -> 230793
230791 -> 230794
230792 -> 230795
230793 -> 230796
230794 -> 230797
230795 -> 230798
230793 -> 230799
