method: org.apache.fop.render.print.PrintRenderer.getPageFormat:1133029265
0(1133029265) -> 0(1376004581) 
this(1133029265) -> this(1376004581) 
0(1133029265) -> pageFormat(1376004581) 
0(1133029265) -> paper(1376004581) 
0(1133029265) -> dim(1376004581) 
0(1133029265) -> fopEx(1376004581) 
0(1133029265) -> $r0(1376004581) 
0(1133029265) -> $r1(1376004581) 
0(1133029265) -> $r2(1376004581) 
0(1133029265) -> $r3(1376004581) 
0(1133029265) -> $r4(1376004581) 
0(1133029265) -> $r5(1376004581) 
0(1376004581) -> 0(257598324) 
this(1376004581) -> this(257598324) 
pageFormat(1376004581) -> pageFormat(257598324) 
paper(1376004581) -> paper(257598324) 
dim(1376004581) -> dim(257598324) 
fopEx(1376004581) -> fopEx(257598324) 
$r0(1376004581) -> $r0(257598324) 
$r1(1376004581) -> $r1(257598324) 
$r2(1376004581) -> $r2(257598324) 
$r3(1376004581) -> $r3(257598324) 
$r4(1376004581) -> $r4(257598324) 
$r5(1376004581) -> $r5(257598324) 
0(257598324) -> 0(1294762044) 
this(257598324) -> this(1294762044) 
pageFormat(257598324) -> pageFormat(1294762044) 
paper(257598324) -> paper(1294762044) 
dim(257598324) -> dim(1294762044) 
fopEx(257598324) -> fopEx(1294762044) 
$r0(257598324) -> $r0(1294762044) 
$r1(257598324) -> $r1(1294762044) 
$r2(257598324) -> $r2(1294762044) 
$r3(257598324) -> $r3(1294762044) 
$r4(257598324) -> $r4(1294762044) 
$r5(257598324) -> $r5(1294762044) 
0(1294762044) -> 0(-1294762044) 
this(1294762044) -> this(-1294762044) 
pageFormat(1294762044) -> pageFormat(-1294762044) 
paper(1294762044) -> paper(-1294762044) 
dim(1294762044) -> dim(-1294762044) 
fopEx(1294762044) -> fopEx(-1294762044) 
$r0(1294762044) -> $r0(-1294762044) 
$r1(1294762044) -> $r1(-1294762044) 
$r2(1294762044) -> $r2(-1294762044) 
$r3(1294762044) -> $r3(-1294762044) 
$r4(1294762044) -> $r4(-1294762044) 
$r5(1294762044) -> $r5(-1294762044) 
0(-1294762044) -> 0(613878457) 
this(-1294762044) -> this(613878457) 
pageFormat(-1294762044) -> pageFormat(613878457) 
paper(-1294762044) -> paper(613878457) 
dim(-1294762044) -> dim(613878457) 
fopEx(-1294762044) -> fopEx(613878457) 
$r0(-1294762044) -> $r0(613878457) 
$r1(-1294762044) -> $r1(613878457) 
$r2(-1294762044) -> $r2(613878457) 
$r3(-1294762044) -> $r3(613878457) 
$r4(-1294762044) -> $r4(613878457) 
$r5(-1294762044) -> $r5(613878457) 
0(613878457) -> 0(622930998) 
this(613878457) -> this(622930998) 
pageFormat(613878457) -> pageFormat(622930998) 
paper(613878457) -> paper(622930998) 
dim(613878457) -> dim(622930998) 
fopEx(613878457) -> fopEx(622930998) 
$r0(613878457) -> $r0(622930998) 
$r1(613878457) -> $r1(622930998) 
$r2(613878457) -> $r2(622930998) 
$r3(613878457) -> $r3(622930998) 
$r4(613878457) -> $r4(622930998) 
$r5(613878457) -> $r5(622930998) 
0(613878457) -> 0(943786611) 
this(613878457) -> this(943786611) 
pageFormat(613878457) -> pageFormat(943786611) 
paper(613878457) -> paper(943786611) 
dim(613878457) -> dim(943786611) 
fopEx(613878457) -> fopEx(943786611) 
$r0(613878457) -> $r0(943786611) 
$r1(613878457) -> $r1(943786611) 
$r2(613878457) -> $r2(943786611) 
$r3(613878457) -> $r3(943786611) 
$r4(613878457) -> $r4(943786611) 
$r5(613878457) -> $r5(943786611) 
0(943786611) -> 0(907354335) 
this(943786611) -> this(907354335) 
pageFormat(943786611) -> pageFormat(907354335) 
paper(943786611) -> paper(907354335) 
dim(943786611) -> dim(907354335) 
fopEx(943786611) -> fopEx(907354335) 
$r0(943786611) -> $r0(907354335) 
$r1(943786611) -> $r1(907354335) 
$r2(943786611) -> $r2(907354335) 
$r3(943786611) -> $r3(907354335) 
$r4(943786611) -> $r4(907354335) 
$r5(943786611) -> $r5(907354335) 
0(907354335) -> 0(-1133029265) 
this(907354335) -> this(-1133029265) 
pageFormat(907354335) -> pageFormat(-1133029265) 
paper(907354335) -> paper(-1133029265) 
dim(907354335) -> dim(-1133029265) 
fopEx(907354335) -> fopEx(-1133029265) 
$r0(907354335) -> $r0(-1133029265) 
$r1(907354335) -> $r1(-1133029265) 
$r2(907354335) -> $r2(-1133029265) 
$r3(907354335) -> $r3(-1133029265) 
$r4(907354335) -> $r4(-1133029265) 
$r5(907354335) -> $r5(-1133029265) 
0(907354335) -> .return(-1133029265) 
0(622930998) -> 0(1380263147) 
this(622930998) -> this(1380263147) 
pageFormat(622930998) -> pageFormat(1380263147) 
paper(622930998) -> paper(1380263147) 
dim(622930998) -> dim(1380263147) 
fopEx(622930998) -> fopEx(1380263147) 
$r1(622930998) -> $r1(1380263147) 
$r2(622930998) -> $r2(1380263147) 
$r3(622930998) -> $r3(1380263147) 
$r4(622930998) -> $r4(1380263147) 
$r5(622930998) -> $r5(1380263147) 
0(1380263147) -> 0(964356735) 
this(1380263147) -> this(964356735) 
pageFormat(1380263147) -> pageFormat(964356735) 
paper(1380263147) -> paper(964356735) 
dim(1380263147) -> dim(964356735) 
fopEx(1380263147) -> fopEx(964356735) 
$r0(1380263147) -> $r0(964356735) 
$r1(1380263147) -> $r1(964356735) 
$r2(1380263147) -> $r2(964356735) 
$r3(1380263147) -> $r3(964356735) 
$r4(1380263147) -> $r4(964356735) 
$r5(1380263147) -> $r5(964356735) 
0(964356735) -> 0(884561236) 
this(964356735) -> this(884561236) 
paper(964356735) -> paper(884561236) 
dim(964356735) -> dim(884561236) 
fopEx(964356735) -> fopEx(884561236) 
$r0(964356735) -> pageFormat(884561236) 
$r0(964356735) -> $r0(884561236) 
$r1(964356735) -> $r1(884561236) 
$r2(964356735) -> $r2(884561236) 
$r3(964356735) -> $r3(884561236) 
$r4(964356735) -> $r4(884561236) 
$r5(964356735) -> $r5(884561236) 
0(884561236) -> 0(989185248) 
this(884561236) -> this(989185248) 
pageFormat(884561236) -> pageFormat(989185248) 
paper(884561236) -> paper(989185248) 
dim(884561236) -> dim(989185248) 
fopEx(884561236) -> fopEx(989185248) 
$r0(884561236) -> $r0(989185248) 
$r2(884561236) -> $r2(989185248) 
$r3(884561236) -> $r3(989185248) 
$r4(884561236) -> $r4(989185248) 
$r5(884561236) -> $r5(989185248) 
0(989185248) -> 0(1565551709) 
this(989185248) -> this(1565551709) 
pageFormat(989185248) -> pageFormat(1565551709) 
paper(989185248) -> paper(1565551709) 
dim(989185248) -> dim(1565551709) 
fopEx(989185248) -> fopEx(1565551709) 
$r0(989185248) -> $r0(1565551709) 
$r1(989185248) -> $r1(1565551709) 
$r2(989185248) -> $r2(1565551709) 
$r3(989185248) -> $r3(1565551709) 
$r4(989185248) -> $r4(1565551709) 
$r5(989185248) -> $r5(1565551709) 
