method: org.apache.fop.layoutmgr.BreakingAlgorithm$BestRecords.getDemerits:494964225
1105397 -> 1105398
1105399 -> 1105400
1105397 -> 1105401
1105398 -> 1105402
1105400 -> 1105403
1105401 -> 1105404
1105402 -> 1105405
1105403 -> 1105406
1105404 -> 1105407
1105405 -> 1105408
1105406 -> 1105409
1105407 -> 1105410
1105408 -> 1105411
1105409 -> 1105412
1105410 -> 1105413
1105411 -> 1105414
1105412 -> 1105415
1105413 -> 1105416
1105411 -> 1105417
