method: org.apache.fop.fo.flow.table.Table.getBlockProgressionDimension:488120193
230883 -> 230884
230885 -> 230886
230883 -> 230887
230884 -> 230888
230886 -> 230889
230887 -> 230890
230888 -> 230891
230889 -> 230892
230890 -> 230893
230891 -> 230894
230892 -> 230895
230893 -> 230896
230893 -> 230897
