method: org.apache.fop.layoutmgr.inline.LineLayoutManager.discardSpace:937826038
1246067 -> 1246068
1246069 -> 1246070
1246071 -> 1246072
1246068 -> 1246073
1246070 -> 1246074
1246072 -> 1246075
1246073 -> 1246076
1246074 -> 1246077
1246075 -> 1246078
1246076 -> 1246079
1246077 -> 1246080
1246078 -> 1246081
1246076 -> 1246082
