method: org.apache.fop.layoutmgr.AbstractBaseLayoutManager.<clinit>:1564916664
973499 -> 973500
973499 -> 973501
973499 -> 973502
973500 -> 973503
973501 -> 973504
973502 -> 973505
973503 -> 973506
973504 -> 973507
973505 -> 973508
973503 -> 973509
973504 -> 973510
973505 -> 973511
973509 -> 973512
973511 -> 973513
973512 -> 973514
973515 -> 973516
973513 -> 973517
973514 -> 973518
973516 -> 973519
973517 -> 973520
973518 -> 973521
973519 -> 973522
973520 -> 973523
973506 -> 973521
973507 -> 973522
973508 -> 973523
973521 -> 973524
973522 -> 973525
973524 -> 973526
973525 -> 973527
973528 -> 973529
973526 -> 973530
973527 -> 973531
973529 -> 973532
973530 -> 973533
973531 -> 973534
973532 -> 973535
973530 -> 973536
