method: org.apache.fop.fonts.FontCache.saveTo:1954352127
0(1954352127) -> 0(132229953) 
this(1954352127) -> this(132229953) 
cacheFile(1954352127) -> cacheFile(132229953) 
0(1954352127) -> l2(132229953) 
0(1954352127) -> out(132229953) 
0(1954352127) -> oout(132229953) 
0(1954352127) -> l5(132229953) 
0(1954352127) -> ioe(132229953) 
0(1954352127) -> l6(132229953) 
0(1954352127) -> $r0(132229953) 
0(1954352127) -> $r1(132229953) 
0(1954352127) -> $r2(132229953) 
0(1954352127) -> $r3(132229953) 
0(1954352127) -> $r4(132229953) 
0(1954352127) -> $r5(132229953) 
0(1954352127) -> $r6(132229953) 
0(1954352127) -> out(132229953) 
0(1954352127) -> $r7(132229953) 
0(1954352127) -> $r8(132229953) 
0(1954352127) -> $r9(132229953) 
0(1954352127) -> $r10(132229953) 
0(132229953) -> 0(1890729073) 
this(132229953) -> this(1890729073) 
cacheFile(132229953) -> cacheFile(1890729073) 
l2(132229953) -> l2(1890729073) 
out(132229953) -> out(1890729073) 
oout(132229953) -> oout(1890729073) 
l5(132229953) -> l5(1890729073) 
ioe(132229953) -> ioe(1890729073) 
l6(132229953) -> l6(1890729073) 
$r0(132229953) -> $r0(1890729073) 
$r1(132229953) -> $r1(1890729073) 
$r2(132229953) -> $r2(1890729073) 
$r3(132229953) -> $r3(1890729073) 
$r4(132229953) -> $r4(1890729073) 
$r5(132229953) -> $r5(1890729073) 
$r6(132229953) -> $r6(1890729073) 
out(132229953) -> out(1890729073) 
$r7(132229953) -> $r7(1890729073) 
$r8(132229953) -> $r8(1890729073) 
$r9(132229953) -> $r9(1890729073) 
$r10(132229953) -> $r10(1890729073) 
0(1890729073) -> 0(516253137) 
this(1890729073) -> this(516253137) 
cacheFile(1890729073) -> cacheFile(516253137) 
l2(1890729073) -> l2(516253137) 
out(1890729073) -> out(516253137) 
oout(1890729073) -> oout(516253137) 
l5(1890729073) -> l5(516253137) 
ioe(1890729073) -> ioe(516253137) 
l6(1890729073) -> l6(516253137) 
$r0(1890729073) -> $r0(516253137) 
$r1(1890729073) -> $r1(516253137) 
$r2(1890729073) -> $r2(516253137) 
$r3(1890729073) -> $r3(516253137) 
$r4(1890729073) -> $r4(516253137) 
$r5(1890729073) -> $r5(516253137) 
$r6(1890729073) -> $r6(516253137) 
out(1890729073) -> out(516253137) 
$r7(1890729073) -> $r7(516253137) 
$r8(1890729073) -> $r8(516253137) 
$r9(1890729073) -> $r9(516253137) 
$r10(1890729073) -> $r10(516253137) 
0(516253137) -> 0(1638424748) 
this(516253137) -> this(1638424748) 
cacheFile(516253137) -> cacheFile(1638424748) 
l2(516253137) -> l2(1638424748) 
out(516253137) -> out(1638424748) 
oout(516253137) -> oout(1638424748) 
l5(516253137) -> l5(1638424748) 
ioe(516253137) -> ioe(1638424748) 
l6(516253137) -> l6(1638424748) 
$r0(516253137) -> $r0(1638424748) 
$r1(516253137) -> $r1(1638424748) 
$r2(516253137) -> $r2(1638424748) 
$r3(516253137) -> $r3(1638424748) 
$r4(516253137) -> $r4(1638424748) 
$r5(516253137) -> $r5(1638424748) 
$r6(516253137) -> $r6(1638424748) 
out(516253137) -> out(1638424748) 
$r7(516253137) -> $r7(1638424748) 
$r8(516253137) -> $r8(1638424748) 
$r9(516253137) -> $r9(1638424748) 
$r10(516253137) -> $r10(1638424748) 
0(1638424748) -> 0(1969417802) 
this(1638424748) -> this(1969417802) 
cacheFile(1638424748) -> cacheFile(1969417802) 
out(1638424748) -> out(1969417802) 
oout(1638424748) -> oout(1969417802) 
l5(1638424748) -> l5(1969417802) 
ioe(1638424748) -> ioe(1969417802) 
l6(1638424748) -> l6(1969417802) 
$r0(1638424748) -> l2(1969417802) 
$r0(1638424748) -> $r0(1969417802) 
$r1(1638424748) -> $r1(1969417802) 
$r2(1638424748) -> $r2(1969417802) 
$r3(1638424748) -> $r3(1969417802) 
$r4(1638424748) -> $r4(1969417802) 
$r5(1638424748) -> $r5(1969417802) 
$r6(1638424748) -> $r6(1969417802) 
out(1638424748) -> out(1969417802) 
$r7(1638424748) -> $r7(1969417802) 
$r8(1638424748) -> $r8(1969417802) 
$r9(1638424748) -> $r9(1969417802) 
$r10(1638424748) -> $r10(1969417802) 
0(1969417802) -> 0(-1954352127) 
this(1969417802) -> this(-1954352127) 
cacheFile(1969417802) -> cacheFile(-1954352127) 
l2(1969417802) -> l2(-1954352127) 
out(1969417802) -> out(-1954352127) 
oout(1969417802) -> oout(-1954352127) 
l5(1969417802) -> l5(-1954352127) 
ioe(1969417802) -> ioe(-1954352127) 
l6(1969417802) -> l6(-1954352127) 
$r0(1969417802) -> $r0(-1954352127) 
$r1(1969417802) -> $r1(-1954352127) 
$r2(1969417802) -> $r2(-1954352127) 
$r3(1969417802) -> $r3(-1954352127) 
$r4(1969417802) -> $r4(-1954352127) 
$r5(1969417802) -> $r5(-1954352127) 
$r6(1969417802) -> $r6(-1954352127) 
out(1969417802) -> out(-1954352127) 
$r7(1969417802) -> $r7(-1954352127) 
$r8(1969417802) -> $r8(-1954352127) 
$r9(1969417802) -> $r9(-1954352127) 
$r10(1969417802) -> $r10(-1954352127) 
0(1298918631) -> 0(1754159462) 
this(1298918631) -> this(1754159462) 
cacheFile(1298918631) -> cacheFile(1754159462) 
l2(1298918631) -> l2(1754159462) 
out(1298918631) -> out(1754159462) 
oout(1298918631) -> oout(1754159462) 
l5(1298918631) -> l5(1754159462) 
ioe(1298918631) -> ioe(1754159462) 
l6(1298918631) -> l6(1754159462) 
$r0(1298918631) -> $r0(1754159462) 
