method: org.apache.fop.traits.BorderProps.toString:351210445
0(351210445) -> 0(2011502226) 
this(351210445) -> this(2011502226) 
0(351210445) -> $r0(2011502226) 
0(351210445) -> sbuf(2011502226) 
0(351210445) -> $r1(2011502226) 
0(351210445) -> $r2(2011502226) 
0(351210445) -> $r3(2011502226) 
0(2011502226) -> 0(1630341308) 
this(2011502226) -> this(1630341308) 
$r0(2011502226) -> $r0(1630341308) 
sbuf(2011502226) -> sbuf(1630341308) 
$r1(2011502226) -> $r1(1630341308) 
$r2(2011502226) -> $r2(1630341308) 
$r3(2011502226) -> $r3(1630341308) 
0(1630341308) -> 0(1229985309) 
this(1630341308) -> this(1229985309) 
sbuf(1630341308) -> sbuf(1229985309) 
$r1(1630341308) -> $r1(1229985309) 
$r2(1630341308) -> $r2(1229985309) 
$r3(1630341308) -> $r3(1229985309) 
0(1229985309) -> 0(685502341) 
this(1229985309) -> this(685502341) 
$r0(1229985309) -> $r0(685502341) 
sbuf(1229985309) -> sbuf(685502341) 
$r1(1229985309) -> $r1(685502341) 
$r2(1229985309) -> $r2(685502341) 
$r3(1229985309) -> $r3(685502341) 
0(685502341) -> 0(334952776) 
this(685502341) -> this(334952776) 
$r0(685502341) -> sbuf(334952776) 
$r0(685502341) -> $r0(334952776) 
$r1(685502341) -> $r1(334952776) 
$r2(685502341) -> $r2(334952776) 
$r3(685502341) -> $r3(334952776) 
0(334952776) -> 0(1173549986) 
this(334952776) -> this(1173549986) 
$r0(334952776) -> $r0(1173549986) 
sbuf(334952776) -> sbuf(1173549986) 
$r1(334952776) -> $r1(1173549986) 
$r2(334952776) -> $r2(1173549986) 
$r3(334952776) -> $r3(1173549986) 
0(1173549986) -> 0(-1173549986) 
this(1173549986) -> this(-1173549986) 
$r0(1173549986) -> $r0(-1173549986) 
sbuf(1173549986) -> sbuf(-1173549986) 
$r2(1173549986) -> $r2(-1173549986) 
$r3(1173549986) -> $r3(-1173549986) 
0(-1173549986) -> 0(996667445) 
this(-1173549986) -> this(996667445) 
$r0(-1173549986) -> $r0(996667445) 
sbuf(-1173549986) -> sbuf(996667445) 
$r1(-1173549986) -> $r1(996667445) 
$r2(-1173549986) -> $r2(996667445) 
$r3(-1173549986) -> $r3(996667445) 
0(996667445) -> 0(617301515) 
this(996667445) -> this(617301515) 
$r0(996667445) -> $r0(617301515) 
sbuf(996667445) -> sbuf(617301515) 
$r1(996667445) -> $r1(617301515) 
$r2(996667445) -> $r2(617301515) 
$r3(996667445) -> $r3(617301515) 
0(617301515) -> 0(1201316389) 
this(617301515) -> this(1201316389) 
$r0(617301515) -> $r0(1201316389) 
sbuf(617301515) -> sbuf(1201316389) 
$r1(617301515) -> $r1(1201316389) 
$r2(617301515) -> $r2(1201316389) 
$r3(617301515) -> $r3(1201316389) 
0(1201316389) -> 0(2030784476) 
this(1201316389) -> this(2030784476) 
$r0(1201316389) -> $r0(2030784476) 
sbuf(1201316389) -> sbuf(2030784476) 
$r1(1201316389) -> $r1(2030784476) 
$r2(1201316389) -> $r2(2030784476) 
$r3(1201316389) -> $r3(2030784476) 
0(2030784476) -> 0(-2030784476) 
this(2030784476) -> this(-2030784476) 
