method: org.apache.fop.fo.flow.table.TableCell.getNumberRowsSpanned:2013425753
235485 -> 235486
235487 -> 235488
235486 -> 235489
235488 -> 235490
235489 -> 235491
235490 -> 235492
235491 -> 235493
235492 -> 235494
235493 -> 235495
235494 -> 235496
235495 -> 235497
235496 -> 235498
235495 -> 235499
