method: org.apache.fop.layoutmgr.Position.getLM:66054386
0(66054386) -> 0(350182236) 
this(66054386) -> this(350182236) 
0(66054386) -> $r0(350182236) 
0(350182236) -> 0(1654567952) 
this(350182236) -> this(1654567952) 
$r0(350182236) -> $r0(1654567952) 
0(1654567952) -> 0(557824261) 
this(1654567952) -> this(557824261) 
$r0(1654567952) -> $r0(557824261) 
0(557824261) -> 0(-66054386) 
this(557824261) -> this(-66054386) 
$r0(557824261) -> $r0(-66054386) 
$r0(557824261) -> .return(-66054386) 
