method: org.apache.fop.area.Page.getRegionViewport:955345385
0(955345385) -> 0(528608850) 
this(955345385) -> this(528608850) 
0(955345385) -> $r0(528608850) 
0(955345385) -> $r1(528608850) 
0(955345385) -> $r2(528608850) 
0(955345385) -> $r3(528608850) 
0(528608850) -> 0(189094311) 
this(528608850) -> this(189094311) 
$r0(528608850) -> $r0(189094311) 
$r1(528608850) -> $r1(189094311) 
$r2(528608850) -> $r2(189094311) 
$r3(528608850) -> $r3(189094311) 
0(189094311) -> 0(1693082154) 
this(189094311) -> this(1693082154) 
$r0(189094311) -> $r0(1693082154) 
$r1(189094311) -> $r1(1693082154) 
$r2(189094311) -> $r2(1693082154) 
$r3(189094311) -> $r3(1693082154) 
0(1693082154) -> 0(1774789058) 
this(1693082154) -> this(1774789058) 
$r0(1693082154) -> $r0(1774789058) 
$r1(1693082154) -> $r1(1774789058) 
$r2(1693082154) -> $r2(1774789058) 
$r3(1693082154) -> $r3(1774789058) 
0(1693082154) -> 0(1464213539) 
this(1693082154) -> this(1464213539) 
$r0(1693082154) -> $r0(1464213539) 
$r1(1693082154) -> $r1(1464213539) 
$r2(1693082154) -> $r2(1464213539) 
$r3(1693082154) -> $r3(1464213539) 
0(1464213539) -> 0(1021839000) 
this(1464213539) -> this(1021839000) 
$r0(1464213539) -> $r0(1021839000) 
$r1(1464213539) -> $r1(1021839000) 
$r2(1464213539) -> $r2(1021839000) 
$r3(1464213539) -> $r3(1021839000) 
0(1021839000) -> 0(-955345385) 
this(1021839000) -> this(-955345385) 
$r0(1021839000) -> $r0(-955345385) 
$r1(1021839000) -> $r1(-955345385) 
$r2(1021839000) -> $r2(-955345385) 
$r3(1021839000) -> $r3(-955345385) 
$r1(1021839000) -> .return(-955345385) 
0(1774789058) -> 0(93797680) 
this(1774789058) -> this(93797680) 
$r0(1774789058) -> $r0(93797680) 
$r1(1774789058) -> $r1(93797680) 
$r2(1774789058) -> $r2(93797680) 
$r3(1774789058) -> $r3(93797680) 
0(1774789058) -> 0(236252373) 
this(1774789058) -> this(236252373) 
$r0(1774789058) -> $r0(236252373) 
$r1(1774789058) -> $r1(236252373) 
$r2(1774789058) -> $r2(236252373) 
$r3(1774789058) -> $r3(236252373) 
0(236252373) -> 0(2143853355) 
this(236252373) -> this(2143853355) 
$r0(236252373) -> $r0(2143853355) 
$r1(236252373) -> $r1(2143853355) 
$r2(236252373) -> $r2(2143853355) 
$r3(236252373) -> $r3(2143853355) 
0(2143853355) -> 0(-955345385) 
this(2143853355) -> this(-955345385) 
$r0(2143853355) -> $r0(-955345385) 
$r1(2143853355) -> $r1(-955345385) 
$r2(2143853355) -> $r2(-955345385) 
$r3(2143853355) -> $r3(-955345385) 
$r1(2143853355) -> .return(-955345385) 
0(93797680) -> 0(1486622599) 
this(93797680) -> this(1486622599) 
$r0(93797680) -> $r0(1486622599) 
$r1(93797680) -> $r1(1486622599) 
$r2(93797680) -> $r2(1486622599) 
$r3(93797680) -> $r3(1486622599) 
0(93797680) -> 0(773438787) 
this(93797680) -> this(773438787) 
$r0(93797680) -> $r0(773438787) 
$r1(93797680) -> $r1(773438787) 
$r2(93797680) -> $r2(773438787) 
$r3(93797680) -> $r3(773438787) 
0(773438787) -> 0(467177818) 
this(773438787) -> this(467177818) 
$r0(773438787) -> $r0(467177818) 
$r1(773438787) -> $r1(467177818) 
$r2(773438787) -> $r2(467177818) 
$r3(773438787) -> $r3(467177818) 
0(467177818) -> 0(-955345385) 
this(467177818) -> this(-955345385) 
$r0(467177818) -> $r0(-955345385) 
$r1(467177818) -> $r1(-955345385) 
$r2(467177818) -> $r2(-955345385) 
$r3(467177818) -> $r3(-955345385) 
$r1(467177818) -> .return(-955345385) 
0(1486622599) -> 0(1404434850) 
this(1486622599) -> this(1404434850) 
$r0(1486622599) -> $r0(1404434850) 
$r1(1486622599) -> $r1(1404434850) 
$r2(1486622599) -> $r2(1404434850) 
$r3(1486622599) -> $r3(1404434850) 
0(1486622599) -> 0(1022428095) 
this(1486622599) -> this(1022428095) 
$r0(1486622599) -> $r0(1022428095) 
$r1(1486622599) -> $r1(1022428095) 
$r2(1486622599) -> $r2(1022428095) 
$r3(1486622599) -> $r3(1022428095) 
0(1022428095) -> 0(1932333018) 
this(1022428095) -> this(1932333018) 
$r0(1022428095) -> $r0(1932333018) 
$r1(1022428095) -> $r1(1932333018) 
$r2(1022428095) -> $r2(1932333018) 
$r3(1022428095) -> $r3(1932333018) 
0(1932333018) -> 0(-955345385) 
this(1932333018) -> this(-955345385) 
$r0(1932333018) -> $r0(-955345385) 
$r1(1932333018) -> $r1(-955345385) 
$r2(1932333018) -> $r2(-955345385) 
$r3(1932333018) -> $r3(-955345385) 
$r1(1932333018) -> .return(-955345385) 
0(1404434850) -> 0(494758137) 
this(1404434850) -> this(494758137) 
$r0(1404434850) -> $r0(494758137) 
$r1(1404434850) -> $r1(494758137) 
$r2(1404434850) -> $r2(494758137) 
$r3(1404434850) -> $r3(494758137) 
0(1404434850) -> 0(1632472959) 
this(1404434850) -> this(1632472959) 
$r0(1404434850) -> $r0(1632472959) 
$r1(1404434850) -> $r1(1632472959) 
$r2(1404434850) -> $r2(1632472959) 
$r3(1404434850) -> $r3(1632472959) 
0(1632472959) -> 0(721947841) 
this(1632472959) -> this(721947841) 
$r0(1632472959) -> $r0(721947841) 
$r1(1632472959) -> $r1(721947841) 
$r2(1632472959) -> $r2(721947841) 
$r3(1632472959) -> $r3(721947841) 
0(721947841) -> 0(-955345385) 
this(721947841) -> this(-955345385) 
$r0(721947841) -> $r0(-955345385) 
$r1(721947841) -> $r1(-955345385) 
$r2(721947841) -> $r2(-955345385) 
$r3(721947841) -> $r3(-955345385) 
$r1(721947841) -> .return(-955345385) 
0(494758137) -> 0(14632136) 
this(494758137) -> this(14632136) 
$r0(494758137) -> $r0(14632136) 
$r1(494758137) -> $r1(14632136) 
$r3(494758137) -> $r3(14632136) 
0(14632136) -> 0(1729261198) 
this(14632136) -> this(1729261198) 
$r1(14632136) -> $r1(1729261198) 
$r2(14632136) -> $r2(1729261198) 
$r3(14632136) -> $r3(1729261198) 
0(1729261198) -> 0(229183431) 
this(1729261198) -> this(229183431) 
$r0(1729261198) -> $r0(229183431) 
$r1(1729261198) -> $r1(229183431) 
$r2(1729261198) -> $r2(229183431) 
$r3(1729261198) -> $r3(229183431) 
0(229183431) -> 0(-229183431) 
this(229183431) -> this(-229183431) 
$r1(229183431) -> $r1(-229183431) 
$r2(229183431) -> $r2(-229183431) 
$r3(229183431) -> $r3(-229183431) 
0(-229183431) -> 0(1273032512) 
this(-229183431) -> this(1273032512) 
$r0(-229183431) -> $r0(1273032512) 
$r1(-229183431) -> $r1(1273032512) 
$r2(-229183431) -> $r2(1273032512) 
$r3(-229183431) -> $r3(1273032512) 
0(1273032512) -> 0(-1273032512) 
this(1273032512) -> this(-1273032512) 
$r1(1273032512) -> $r1(-1273032512) 
