method: org.apache.fop.render.afp.extensions.AFPPageSetupElement.<init>:781564984
1778214 -> 1778215
1778216 -> 1778217
1778218 -> 1778219
1778215 -> 1778220
1778217 -> 1778221
1778219 -> 1778222
1778220 -> 1778223
1778221 -> 1778224
1778222 -> 1778225
1778223 -> 1778226
1778224 -> 1778227
1778225 -> 1778228
1778226 -> 1778229
1778227 -> 1778230
1778228 -> 1778231
1778226 -> 1778232
