method: org.apache.fop.fonts.type1.AFMParser$EndDirection.<init>:603331494
889599 -> 889600
889601 -> 889602
889603 -> 889604
889600 -> 889605
889602 -> 889606
889604 -> 889607
889605 -> 889608
889606 -> 889609
889607 -> 889610
889608 -> 889611
889609 -> 889612
889610 -> 889613
889611 -> 889614
889612 -> 889615
889613 -> 889616
889611 -> 889617
