method: org.apache.fop.apps.FOUserAgent.getFontBaseURL:292944986
21037 -> 21038
21039 -> 21040
21037 -> 21041
21038 -> 21042
21040 -> 21043
21041 -> 21044
21042 -> 21045
21043 -> 21046
21044 -> 21047
21045 -> 21048
21046 -> 21049
21047 -> 21050
21045 -> 21051
21046 -> 21052
21047 -> 21053
21051 -> 21054
21052 -> 21055
21053 -> 21056
21054 -> 21057
21055 -> 21058
21056 -> 21059
21048 -> 21060
21049 -> 21061
21060 -> 21057
21061 -> 21058
21062 -> 21059
21057 -> 21063
21058 -> 21064
21059 -> 21065
21059 -> 21066
