method: org.apache.fop.layoutmgr.LayoutContext.setTrailingSpace:2063048978
1327436 -> 1327437
1327438 -> 1327439
1327440 -> 1327441
1327437 -> 1327442
1327439 -> 1327443
1327441 -> 1327444
1327442 -> 1327445
1327443 -> 1327446
1327444 -> 1327447
1327445 -> 1327448
1327446 -> 1327449
1327447 -> 1327450
1327448 -> 1327451
1327449 -> 1327452
1327450 -> 1327453
1327448 -> 1327454
