method: org.apache.fop.fo.FOEventHandler.setPropertyListMaker:353925913
272317 -> 272318
272319 -> 272320
272321 -> 272322
272318 -> 272323
272320 -> 272324
272322 -> 272325
272323 -> 272326
272324 -> 272327
272325 -> 272328
272326 -> 272329
272327 -> 272330
272328 -> 272331
272329 -> 272332
272330 -> 272333
272331 -> 272334
272329 -> 272335
