method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfElement.getRtfAttributes:95802261
2306925 -> 2306926
2306927 -> 2306928
2306925 -> 2306929
2306926 -> 2306930
2306928 -> 2306931
2306929 -> 2306932
2306930 -> 2306933
2306931 -> 2306934
2306932 -> 2306935
2306933 -> 2306936
2306934 -> 2306937
2306935 -> 2306938
2306935 -> 2306939
