method: org.apache.fop.fo.flow.table.TableRow.getCommonBorderPaddingBackground:1101418914
243967 -> 243968
243969 -> 243970
243967 -> 243971
243968 -> 243972
243970 -> 243973
243971 -> 243974
243972 -> 243975
243973 -> 243976
243974 -> 243977
243975 -> 243978
243976 -> 243979
243977 -> 243980
243977 -> 243981
