method: org.apache.fop.render.afp.modca.MapCodedFont$FontDefinition.access$100:2119128799
1823198 -> 1823199
1823200 -> 1823201
1823198 -> 1823202
1823199 -> 1823203
1823201 -> 1823204
1823202 -> 1823205
1823203 -> 1823206
1823204 -> 1823207
1823205 -> 1823208
1823206 -> 1823209
1823207 -> 1823210
1823208 -> 1823211
1823208 -> 1823212
