method: org.apache.fop.layoutmgr.LayoutContext.setSpaceAdjust:624879897
0(624879897) -> 0(96318783) 
this(624879897) -> this(96318783) 
0(96318783) -> 0(1774599690) 
this(96318783) -> this(1774599690) 
0(1774599690) -> 0(1137427780) 
this(1774599690) -> this(1137427780) 
0(1137427780) -> 0(1996756513) 
this(1137427780) -> this(1996756513) 
0(1996756513) -> 0(-624879897) 
this(1996756513) -> this(-624879897) 
0(1996756513) -> .return(-624879897) 
