method: org.apache.fop.svg.PDFGraphics2D.setXORMode:360965093
2462265 -> 2462266
2462267 -> 2462268
2462269 -> 2462270
2462266 -> 2462271
2462268 -> 2462272
2462270 -> 2462273
2462271 -> 2462274
2462272 -> 2462275
2462273 -> 2462276
2462274 -> 2462277
2462275 -> 2462278
2462276 -> 2462279
2462274 -> 2462280
