method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfListStyleBullet.<init>:811697052
0(811697052) -> 0(1069237135) 
this(811697052) -> this(1069237135) 
0(1069237135) -> 0(1585779326) 
this(1069237135) -> this(1585779326) 
0(1585779326) -> 0(1921072812) 
this(1585779326) -> this(1921072812) 
0(1921072812) -> 0(-811697052) 
this(1921072812) -> this(-811697052) 
0(1921072812) -> .return(-811697052) 
