method: org.apache.fop.render.java2d.Java2DRenderer.clearViewportList:40783493
1907215 -> 1907216
1907217 -> 1907218
1907215 -> 1907219
1907216 -> 1907220
1907218 -> 1907221
1907219 -> 1907222
1907220 -> 1907223
1907221 -> 1907224
1907222 -> 1907225
1907223 -> 1907226
1907224 -> 1907227
1907225 -> 1907228
1907226 -> 1907229
1907227 -> 1907230
1907228 -> 1907231
1907229 -> 1907232
1907230 -> 1907233
1907231 -> 1907234
1907229 -> 1907235
