method: org.apache.fop.pdf.PDFFontType3.setCharProcs:2088013852
1612378 -> 1612379
1612380 -> 1612381
1612382 -> 1612383
1612379 -> 1612384
1612381 -> 1612385
1612383 -> 1612386
1612384 -> 1612387
1612385 -> 1612388
1612386 -> 1612389
1612387 -> 1612390
1612388 -> 1612391
1612389 -> 1612392
1612390 -> 1612393
1612391 -> 1612394
1612392 -> 1612395
1612390 -> 1612396
