method: org.apache.fop.fo.flow.BlockContainer.getBreakAfter:1973887785
0(1973887785) -> 0(1655446306) 
this(1973887785) -> this(1655446306) 
0(1655446306) -> 0(1032972179) 
this(1655446306) -> this(1032972179) 
0(1032972179) -> 0(905610105) 
this(1032972179) -> this(905610105) 
0(905610105) -> 0(-1973887785) 
this(905610105) -> this(-1973887785) 
0(905610105) -> .return(-1973887785) 
