method: org.apache.fop.layoutmgr.KnuthGlue.toString:9875612
0(9875612) -> 0(761255440) 
this(9875612) -> this(761255440) 
0(9875612) -> $r0(761255440) 
0(9875612) -> sb(761255440) 
0(9875612) -> $r1(761255440) 
0(761255440) -> 0(1860094901) 
this(761255440) -> this(1860094901) 
$r0(761255440) -> $r0(1860094901) 
sb(761255440) -> sb(1860094901) 
$r1(761255440) -> $r1(1860094901) 
0(1860094901) -> 0(2111928691) 
this(1860094901) -> this(2111928691) 
sb(1860094901) -> sb(2111928691) 
$r1(1860094901) -> $r1(2111928691) 
0(2111928691) -> 0(1575792021) 
this(2111928691) -> this(1575792021) 
$r0(2111928691) -> $r0(1575792021) 
sb(2111928691) -> sb(1575792021) 
$r1(2111928691) -> $r1(1575792021) 
0(1575792021) -> 0(34337770) 
this(1575792021) -> this(34337770) 
$r0(1575792021) -> sb(34337770) 
$r0(1575792021) -> $r0(34337770) 
$r1(1575792021) -> $r1(34337770) 
0(34337770) -> 0(-34337770) 
this(34337770) -> this(-34337770) 
$r0(34337770) -> $r0(-34337770) 
sb(34337770) -> sb(-34337770) 
$r1(34337770) -> $r1(-34337770) 
0(-34337770) -> 0(1589282994) 
this(-34337770) -> this(1589282994) 
$r0(-34337770) -> $r0(1589282994) 
sb(-34337770) -> sb(1589282994) 
$r1(-34337770) -> $r1(1589282994) 
0(1589282994) -> 0(970721280) 
this(1589282994) -> this(970721280) 
$r0(1589282994) -> $r0(970721280) 
sb(1589282994) -> sb(970721280) 
$r1(1589282994) -> $r1(970721280) 
0(1589282994) -> 0(526355439) 
this(1589282994) -> this(526355439) 
$r0(1589282994) -> $r0(526355439) 
sb(1589282994) -> sb(526355439) 
$r1(1589282994) -> $r1(526355439) 
0(526355439) -> 0(970721280) 
this(526355439) -> this(970721280) 
$r0(526355439) -> $r0(970721280) 
sb(526355439) -> sb(970721280) 
$r1(526355439) -> $r1(970721280) 
0(970721280) -> 0(1972042497) 
this(970721280) -> this(1972042497) 
$r0(970721280) -> $r0(1972042497) 
sb(970721280) -> sb(1972042497) 
$r1(970721280) -> $r1(1972042497) 
0(1972042497) -> 0(-1972042497) 
this(1972042497) -> this(-1972042497) 
sb(1972042497) -> sb(-1972042497) 
$r1(1972042497) -> $r1(-1972042497) 
0(-1972042497) -> 0(385916877) 
this(-1972042497) -> this(385916877) 
$r0(-1972042497) -> $r0(385916877) 
sb(-1972042497) -> sb(385916877) 
$r1(-1972042497) -> $r1(385916877) 
0(385916877) -> 0(-385916877) 
this(385916877) -> this(-385916877) 
$r0(385916877) -> $r0(-385916877) 
sb(385916877) -> sb(-385916877) 
$r1(385916877) -> $r1(-385916877) 
0(-385916877) -> 0(479286701) 
this(-385916877) -> this(479286701) 
$r0(-385916877) -> $r0(479286701) 
