method: org.apache.fop.fo.flow.table.VariableColRowGroupBuilder.addTableCell:1479197025
244378 -> 244379
244380 -> 244381
244382 -> 244383
244378 -> 244384
244378 -> 244385
244379 -> 244386
244381 -> 244387
244383 -> 244388
244384 -> 244389
244385 -> 244390
244386 -> 244391
244387 -> 244392
244388 -> 244393
244389 -> 244394
244390 -> 244395
244391 -> 244396
244392 -> 244397
244393 -> 244398
244394 -> 244399
244395 -> 244400
244396 -> 244401
244397 -> 244402
244398 -> 244403
244400 -> 244404
244401 -> 244405
244402 -> 244406
244403 -> 244407
244408 -> 244409
244404 -> 244410
244405 -> 244411
244406 -> 244412
244407 -> 244413
244409 -> 244414
244410 -> 244415
244411 -> 244416
244412 -> 244417
244413 -> 244418
244414 -> 244419
244415 -> 244420
244411 -> 244421
