method: org.apache.fop.area.AreaTreeParser$Handler$SpaceMaker.<init>:1300316405
43888 -> 43889
43890 -> 43891
43892 -> 43893
43894 -> 43895
43889 -> 43896
43891 -> 43897
43893 -> 43898
43895 -> 43899
43896 -> 43900
43897 -> 43901
43898 -> 43902
43899 -> 43903
43900 -> 43904
43901 -> 43905
43902 -> 43906
43903 -> 43907
43904 -> 43908
43905 -> 43909
43906 -> 43910
43907 -> 43911
43908 -> 43912
43909 -> 43913
43910 -> 43914
43911 -> 43915
43908 -> 43916
