method: org.apache.fop.render.txt.TXTRenderer.setEncoding:837496729
2367315 -> 2367316
2367317 -> 2367318
2367319 -> 2367320
2367316 -> 2367321
2367318 -> 2367322
2367320 -> 2367323
2367321 -> 2367324
2367322 -> 2367325
2367323 -> 2367326
2367324 -> 2367327
2367325 -> 2367328
2367326 -> 2367329
2367327 -> 2367330
2367328 -> 2367331
2367329 -> 2367332
2367327 -> 2367333
