method: org.apache.fop.layoutmgr.table.ActiveCell.increaseCurrentStep:1200936359
0(1200936359) -> 0(755180631) 
this(1200936359) -> this(755180631) 
0(1200936359) -> $r0(755180631) 
0(1200936359) -> $r1(755180631) 
0(1200936359) -> $r2(755180631) 
0(755180631) -> 0(692511447) 
this(755180631) -> this(692511447) 
$r0(755180631) -> $r0(692511447) 
$r1(755180631) -> $r1(692511447) 
$r2(755180631) -> $r2(692511447) 
0(692511447) -> 0(4731975) 
this(692511447) -> this(4731975) 
$r0(692511447) -> $r0(4731975) 
$r1(692511447) -> $r1(4731975) 
$r2(692511447) -> $r2(4731975) 
0(4731975) -> 0(73408886) 
this(4731975) -> this(73408886) 
$r0(4731975) -> $r0(73408886) 
$r1(4731975) -> $r1(73408886) 
$r2(4731975) -> $r2(73408886) 
0(73408886) -> 0(-73408886) 
this(73408886) -> this(-73408886) 
$r0(73408886) -> $r0(-73408886) 
$r1(73408886) -> $r1(-73408886) 
$r2(73408886) -> $r2(-73408886) 
0(-73408886) -> 0(1061917440) 
this(-73408886) -> this(1061917440) 
$r0(-73408886) -> $r0(1061917440) 
$r1(-73408886) -> $r1(1061917440) 
$r2(-73408886) -> $r2(1061917440) 
0(1061917440) -> 0(2057307510) 
this(1061917440) -> this(2057307510) 
$r0(1061917440) -> $r0(2057307510) 
$r1(1061917440) -> $r1(2057307510) 
$r2(1061917440) -> $r2(2057307510) 
0(2057307510) -> 0(-2057307510) 
this(2057307510) -> this(-2057307510) 
$r0(2057307510) -> $r0(-2057307510) 
$r1(2057307510) -> $r1(-2057307510) 
$r2(2057307510) -> $r2(-2057307510) 
0(-2057307510) -> 0(849812677) 
this(-2057307510) -> this(849812677) 
$r0(-2057307510) -> $r0(849812677) 
$r1(-2057307510) -> $r1(849812677) 
$r2(-2057307510) -> $r2(849812677) 
0(849812677) -> 0(2035409789) 
this(849812677) -> this(2035409789) 
$r0(849812677) -> $r0(2035409789) 
$r1(849812677) -> $r1(2035409789) 
$r2(849812677) -> $r2(2035409789) 
0(2035409789) -> 0(326829363) 
this(2035409789) -> this(326829363) 
$r0(2035409789) -> $r0(326829363) 
$r1(2035409789) -> $r1(326829363) 
$r2(2035409789) -> $r2(326829363) 
0(2035409789) -> 0(1309983714) 
this(2035409789) -> this(1309983714) 
$r0(2035409789) -> $r0(1309983714) 
$r1(2035409789) -> $r1(1309983714) 
$r2(2035409789) -> $r2(1309983714) 
0(1309983714) -> 0(893932154) 
this(1309983714) -> this(893932154) 
$r0(1309983714) -> $r0(893932154) 
$r1(1309983714) -> $r1(893932154) 
$r2(1309983714) -> $r2(893932154) 
0(893932154) -> 0(-893932154) 
this(893932154) -> this(-893932154) 
$r0(893932154) -> $r0(-893932154) 
$r1(893932154) -> $r1(-893932154) 
